Wavenumber,sa22089.14,sa22088.00,sa22087.14,sa22086.00,sa22085.09,sa22083.00,sa22080.00,sa22082.04,sa22079.09,sa22077.00,sa22076.09,sa22074.00,sa22073.09,sa22071.00,sa22070.09,sa22068.00
650.612,0.11273,0.111514,0.146982,0.145794,0.105704,0.109663,0.107596,0.132132,0.144921,0.142732,0.132619,0.157699,0.110055,0.109597,0.135453,0.0861318
652.476,0.110353,0.109708,0.147878,0.147863,0.104652,0.108253,0.108236,0.132684,0.144667,0.142232,0.13409,0.159178,0.1082,0.107564,0.135669,0.0863631
654.341,0.107436,0.10744,0.149628,0.14923,0.103532,0.107062,0.108976,0.133406,0.144411,0.141886,0.134603,0.160866,0.106392,0.105795,0.13664,0.0870328
656.205,0.105988,0.105563,0.152022,0.151462,0.10307,0.106292,0.10942,0.135395,0.144795,0.142217,0.135978,0.162346,0.105159,0.105624,0.13909,0.087772
658.069,0.104775,0.104061,0.154938,0.154785,0.103366,0.105057,0.109229,0.137151,0.144893,0.142853,0.138196,0.164349,0.103862,0.105366,0.141405,0.0876572
659.933,0.102765,0.102574,0.157718,0.157807,0.10316,0.10374,0.109609,0.138416,0.144613,0.14324,0.140195,0.166908,0.102107,0.104411,0.143639,0.087436
661.797,0.102105,0.101461,0.16181,0.162409,0.102862,0.10414,0.110783,0.140718,0.145026,0.144347,0.143135,0.171023,0.101639,0.104512,0.14657,0.0880521
663.662,0.100523,0.0995258,0.166555,0.167332,0.101915,0.103641,0.111072,0.142678,0.143893,0.143128,0.145228,0.173935,0.100733,0.104271,0.148955,0.0875619
665.526,0.096612,0.0960855,0.168826,0.169082,0.0990647,0.100096,0.108722,0.141496,0.139302,0.138268,0.143703,0.172694,0.0968527,0.100237,0.148918,0.0850526
667.39,0.0940079,0.0938976,0.175259,0.175832,0.0975459,0.0973311,0.108287,0.142888,0.137247,0.136731,0.145289,0.175325,0.0940378,0.0969693,0.151769,0.0837349
669.254,0.0971088,0.0966599,0.192564,0.193248,0.101523,0.0997168,0.114037,0.15243,0.141791,0.141056,0.155833,0.186935,0.0965913,0.0996731,0.160979,0.0865071
671.119,0.0950143,0.094354,0.19657,0.196297,0.0992921,0.0977898,0.112836,0.152743,0.138914,0.138414,0.156168,0.187793,0.0945333,0.0984855,0.162327,0.0855631
672.983,0.0925077,0.0913584,0.20137,0.200794,0.0959668,0.0951845,0.11185,0.15297,0.135567,0.135224,0.156485,0.189607,0.0918528,0.0966514,0.163903,0.0845268
674.847,0.0906233,0.0893365,0.20996,0.210101,0.0930321,0.0933889,0.111831,0.154762,0.133032,0.133066,0.159085,0.193885,0.0899214,0.0944144,0.167076,0.0836771
676.711,0.0882499,0.0872472,0.221472,0.222566,0.0904716,0.0910182,0.112252,0.157446,0.130854,0.13073,0.162863,0.198151,0.0878713,0.0921187,0.171425,0.0830659
678.575,0.0856314,0.0850628,0.233493,0.234567,0.0876991,0.08826,0.112407,0.159292,0.128031,0.127256,0.165805,0.202474,0.0852449,0.0890679,0.174899,0.0826066
