Wavenumber,sa22087.10,sa22089.10,sa22085.05,sa22082.00,sa22079.05,sa22076.05,sa22073.05,sa22070.05,sa22089.06,sa22087.06,sa22085.01,sa22081.01,sa22079.01,sa22076.01,sa22073.01,sa22070.01
650.612,0.113651,0.11941,0.117837,0.11165,0.14038,0.117823,0.122912,0.0771361,0.113399,0.130608,0.117952,0.122096,0.112982,0.130615,0.115249,0.104615
652.476,0.114678,0.118021,0.117043,0.112347,0.140161,0.118141,0.122122,0.0783363,0.11304,0.132482,0.116766,0.123029,0.112582,0.131873,0.114642,0.105313
654.341,0.114796,0.115448,0.115825,0.113079,0.139591,0.118297,0.121488,0.0782413,0.111456,0.13373,0.115807,0.12374,0.112039,0.132404,0.113364,0.105465
656.205,0.116225,0.114169,0.115807,0.114082,0.139056,0.120073,0.121021,0.0778614,0.109293,0.135035,0.116188,0.1253,0.112581,0.133501,0.112485,0.106124
658.069,0.119327,0.114,0.116693,0.116026,0.139266,0.122379,0.122045,0.0793984,0.107651,0.138608,0.116879,0.127239,0.113649,0.135934,0.112029,0.107924
659.933,0.12132,0.111541,0.116103,0.117501,0.138721,0.123258,0.122915,0.0798236,0.105933,0.141704,0.11686,0.128297,0.113099,0.137976,0.110928,0.108028
661.797,0.122607,0.108702,0.114853,0.117352,0.138104,0.123798,0.121934,0.0784569,0.10438,0.143829,0.116195,0.129634,0.111959,0.139137,0.109337,0.107461
663.662,0.125141,0.107227,0.113648,0.117574,0.136663,0.124537,0.119966,0.0779285,0.102879,0.147042,0.115377,0.130872,0.110988,0.140214,0.107438,0.107581
665.526,0.127724,0.106257,0.112671,0.118333,0.133479,0.125053,0.117832,0.0779463,0.100624,0.149676,0.114165,0.131137,0.109494,0.141085,0.105705,0.106523
667.39,0.131231,0.104449,0.112109,0.119735,0.132072,0.126099,0.116661,0.0770756,0.0994814,0.155861,0.113362,0.133917,0.108854,0.144906,0.10517,0.10653
669.254,0.14004,0.104705,0.112459,0.124851,0.133673,0.130792,0.118449,0.0785522,0.10025,0.16846,0.114632,0.141634,0.109533,0.153443,0.105418,0.10919
671.119,0.14276,0.103183,0.110192,0.124936,0.130994,0.130859,0.116244,0.0776237,0.0976691,0.170805,0.111765,0.141859,0.106669,0.154469,0.102607,0.108469
672.983,0.145761,0.101252,0.108421,0.125079,0.127897,0.131117,0.11431,0.077308,0.0954821,0.173825,0.109166,0.142052,0.104921,0.155877,0.100903,0.108685
674.847,0.149938,0.0993563,0.107351,0.12618,0.125798,0.132728,0.112434,0.0779402,0.0933301,0.179783,0.106888,0.144095,0.103451,0.159504,0.0995866,0.10881
676.711,0.155544,0.0975297,0.105303,0.128257,0.124193,0.134926,0.110876,0.0776428,0.0915943,0.188598,0.104599,0.147887,0.102122,0.164522,0.0977323,0.108552
678.575,0.161439,0.0951461,0.102404,0.130131,0.121327,0.136889,0.10913,0.0772558,0.0896992,0.197298,0.102247,0.1507,0.100045,0.16861,0.0955389,0.108982
680.44,0.16388,0.0925314,0.0996846,0.130341,0.118143,0.137751,0.106547,0.0768791,0.0873119,0.201345,0.099101,0.150985,0.0978358,0.169897,0.0934299,0.109042
682.304,0.163579,0.0907763,0.0979016,0.130345,0.116785,0.137371,0.104255,0.0760555,0.0859815,0.202233,0.0969965,0.151448,0.0963532,0.169877,0.0911023,0.108549
684.168,0.164139,0.0893262,0.0967413,0.130896,0.11526,0.137227,0.10298,0.0755123,0.0844988,0.203302,0.0956098,0.152117,0.0948529,0.17025,0.0896703,0.108061
686.032,0.166119,0.0874363,0.0961406,0.13173,0.113513,0.137705,0.101719,0.075251,0.0819301,0.204932,0.0941543,0.152712,0.093448,0.17131,0.0883054,0.107447
687.896,0.168428,0.0856064,0.0958707,0.13306,0.112452,0.139109,0.100864,0.0750447,0.0803886,0.208555,0.0934224,0.154385,0.0929719,0.173753,0.086794,0.107605
689.761,0.172709,0.0847182,0.0957038,0.135066,0.111165,0.141274,0.100628,0.0748831,0.0798771,0.215172,0.0930797,0.156899,0.0925878,0.177643,0.0858963,0.108716
691.625,0.178918,0.0840917,0.0948146,0.137751,0.10963,0.143618,0.0996293,0.0753714,0.0789927,0.224384,0.0929824,0.16028,0.0916631,0.182543,0.0850933,0.10961
693.489,0.186358,0.0831952,0.0944493,0.141042,0.108786,0.146334,0.0982094,0.0757627,0.0780716,0.235565,0.0926738,0.164552,0.0906574,0.187934,0.0841708,0.110041
695.353,0.195498,0.0827632,0.0945653,0.144247,0.107862,0.149395,0.0978349,0.0757867,0.0779878,0.248732,0.0919067,0.169889,0.0897025,0.195086,0.083697,0.11117
697.218,0.206263,0.0830747,0.0943912,0.148054,0.106632,0.153065,0.0974145,0.0760964,0.0781664,0.264858,0.0914099,0.1752,0.0889875,0.203152,0.0837313,0.112487
699.082,0.217631,0.0837942,0.0940295,0.152048,0.105772,0.157006,0.0964165,0.0761807,0.0779795,0.282137,0.0912839,0.180184,0.0884493,0.210759,0.0834252,0.113023
700.946,0.227009,0.0838059,0.0933191,0.154334,0.105324,0.160269,0.0958741,0.076099,0.0779914,0.296861,0.090698,0.183948,0.0879585,0.217059,0.0827861,0.112724
702.81,0.234763,0.0833859,0.0922082,0.155458,0.104137,0.161969,0.0949795,0.0754975,0.0782593,0.308907,0.0897803,0.187067,0.087246,0.222034,0.0825637,0.112475
704.674,0.241221,0.0830843,0.0909291,0.156724,0.103101,0.162967,0.0938111,0.0744482,0.0781151,0.319646,0.0887234,0.189859,0.0858307,0.226208,0.0822075,0.112596
706.539,0.248043,0.0827248,0.0894913,0.158193,0.102445,0.1635,0.0924039,0.0733747,0.0778904,0.330573,0.0877134,0.191918,0.0844209,0.230272,0.0814638,0.111931
708.403,0.255029,0.0821388,0.0877212,0.158856,0.101547,0.16382,0.0908942,0.0721226,0.0777789,0.341056,0.0859983,0.193662,0.0830274,0.233743,0.080697,0.11084
