Wavenumber,sa22088.11,sa22086.11,sa22084.01,sa22078.01,sa22080.11,sa22075.01,sa22072.01,sa22069.01,sa22086.01,sa22088.01,sa22083.01,sa22077.01,sa22080.01,sa22074.01,sa22071.01,sa22068.01,sa22089.01,sa22084.06,sa22087.01,sa22078.06,sa22080.16,sa22075.06,sa22069.06,sa22072.06,sa22088.06,sa22086.06,sa22083.06,sa22080.06,sa22077.06,sa22074.06,sa22071.06,sa22068.06
650.612,0.110411,0.147157,0.108482,0.126352,0.107174,0.113945,0.109101,0.0848143,0.191443,0.11413,0.123027,0.160416,0.179682,0.157427,0.135318,0.123133,0.112959,0.142066,0.162787,0.162135,0.177447,0.190085,0.171184,0.110947,0.11226,0.192709,0.1305,0.143238,0.17159,0.157191,0.114144,0.0832499
652.476,0.109548,0.148023,0.107747,0.125365,0.108685,0.115777,0.10814,0.0852306,0.193006,0.112772,0.121765,0.158885,0.181386,0.157548,0.134351,0.123126,0.112701,0.140728,0.164791,0.161631,0.178875,0.191952,0.1735,0.110816,0.11117,0.19576,0.129834,0.144835,0.170506,0.157038,0.112926,0.0838757
654.341,0.108585,0.149497,0.106814,0.124435,0.110074,0.117383,0.107536,0.0855538,0.194653,0.111645,0.120634,0.157223,0.182386,0.158043,0.133007,0.123168,0.111921,0.139492,0.167462,0.160461,0.181184,0.193411,0.175254,0.10995,0.110871,0.198382,0.129296,0.145648,0.169975,0.157392,0.112018,0.0832377
656.205,0.106523,0.151893,0.105285,0.123523,0.110167,0.118013,0.106239,0.0851284,0.195778,0.109818,0.119019,0.155482,0.182769,0.157879,0.131077,0.12199,0.110059,0.137748,0.169609,0.158332,0.18227,0.195124,0.175057,0.107904,0.109323,0.200684,0.127914,0.145692,0.168228,0.156498,0.109856,0.0813541
658.069,0.105253,0.15516,0.103798,0.123915,0.111308,0.118709,0.105205,0.0857811,0.198573,0.107868,0.117931,0.154327,0.183766,0.157573,0.129999,0.121271,0.108587,0.136545,0.172772,0.157014,0.183104,0.197552,0.175769,0.106411,0.107317,0.204618,0.126033,0.146119,0.166587,0.156262,0.10809,0.0805181
659.933,0.104448,0.158246,0.102355,0.124448,0.113143,0.120021,0.104197,0.0867966,0.201702,0.106685,0.117046,0.152962,0.185161,0.157924,0.129505,0.121248,0.106754,0.135996,0.177398,0.156306,0.185297,0.199944,0.178394,0.105383,0.105775,0.208515,0.124521,0.147394,0.165701,0.157654,0.107092,0.0808028
661.797,0.102751,0.160841,0.10142,0.123383,0.113648,0.121689,0.10227,0.0867057,0.204621,0.105506,0.115549,0.151821,0.186073,0.157785,0.128093,0.120188,0.104973,0.134504,0.18133,0.155015,0.188179,0.202955,0.18134,0.103579,0.104376,0.212421,0.123351,0.148733,0.164678,0.158001,0.105614,0.0796287
663.662,0.100775,0.164435,0.100159,0.121318,0.114138,0.123752,0.100388,0.0866449,0.208739,0.104513,0.114099,0.150852,0.187839,0.157297,0.12692,0.119636,0.103976,0.132542,0.186566,0.152841,0.191032,0.20692,0.184544,0.102342,0.102994,0.217955,0.122304,0.15135,0.16359,0.157916,0.104861,0.0786896
665.526,0.101048,0.168617,0.0996992,0.120971,0.115585,0.127153,0.100623,0.0871821,0.213336,0.104343,0.11385,0.15008,0.190436,0.157586,0.126048,0.120383,0.103692,0.132417,0.19218,0.152221,0.193468,0.210193,0.186878,0.101755,0.101766,0.223642,0.121362,0.153334,0.161691,0.157871,0.10344,0.078728
667.39,0.0978308,0.171429,0.0967786,0.117134,0.113708,0.127642,0.0976621,0.0842167,0.215719,0.100478,0.11078,0.146336,0.189648,0.15555,0.122117,0.117659,0.101264,0.130484,0.197522,0.149439,0.195518,0.213657,0.188389,0.0993989,0.0998411,0.231049,0.119468,0.154682,0.159709,0.15824,0.101347,0.0780787
669.254,0.101015,0.188891,0.100597,0.119969,0.119669,0.13532,0.100023,0.0886689,0.228052,0.103596,0.113956,0.148773,0.198121,0.161087,0.124822,0.120503,0.103463,0.1325,0.212558,0.150117,0.205364,0.226032,0.198211,0.101151,0.101184,0.247066,0.120359,0.16105,0.161003,0.162437,0.102891,0.0791558
671.119,0.0980959,0.192309,0.097441,0.116829,0.117753,0.134588,0.0967067,0.0861738,0.228194,0.101068,0.110781,0.146193,0.197684,0.158433,0.121943,0.118505,0.0998034,0.128538,0.213666,0.146603,0.20421,0.226372,0.197897,0.0982084,0.0976702,0.248579,0.117035,0.160052,0.157477,0.159956,0.100796,0.0772245
672.983,0.096388,0.196657,0.0953814,0.114275,0.116751,0.136033,0.0950806,0.0842037,0.229608,0.0993858,0.108821,0.144829,0.197667,0.156776,0.120123,0.117766,0.0978143,0.126573,0.216249,0.145475,0.204941,0.227926,0.19841,0.0966566,0.0966434,0.251942,0.115522,0.159762,0.155807,0.159138,0.0994746,0.0763344
674.847,0.0956008,0.205919,0.0940631,0.113204,0.117091,0.139163,0.0944134,0.0839712,0.233033,0.0980086,0.106658,0.14305,0.1988,0.156775,0.118529,0.117536,0.0965839,0.124777,0.222019,0.144442,0.208108,0.231182,0.200692,0.0951204,0.0960803,0.256395,0.113968,0.159522,0.154644,0.159864,0.0973812,0.0755484
