Wavenumber,sa22088.12,sa22086.12,sa22084.02,sa22078.02,sa22080.12,sa22075.02,sa22072.02,sa22069.02,sa22088.02,sa22083.02,sa22086.02,sa22080.02,sa22077.02,sa22074.02,sa22071.02,sa22068.02,sa22065.52,sa22062.52,sa22059.52,sa22056.52,sa22089.02,sa22087.02,sa22084.07,sa22080.17,sa22078.07,sa22063.57,sa22069.07,sa22075.07,sa22072.07,sa22088.07,sa22086.07,sa22083.07,sa22080.07,sa22077.07,sa22074.07,sa22071.07,sa22068.07
650.612,0.118355,0.142069,0.111436,0.116108,0.144493,0.147019,0.115938,0.149534,0.112011,0.151276,0.194282,0.167286,0.256444,0.147354,0.112796,0.124519,0.143275,0.18009,0.15186,0.130499,0.119541,0.120499,0.124906,0.162896,0.210042,0.199022,0.171437,0.119997,0.140125,0.117557,0.0562662,0.112978,0.111732,0.147059,0.173675,0.128499,0.136785
652.476,0.117255,0.143207,0.110582,0.114513,0.145748,0.148232,0.114954,0.152065,0.110551,0.149788,0.195272,0.166989,0.255431,0.147027,0.111719,0.12353,0.140953,0.179762,0.150136,0.129927,0.118181,0.121033,0.123592,0.163043,0.208484,0.197521,0.170951,0.120903,0.138863,0.116383,0.0560455,0.111948,0.112401,0.145624,0.174396,0.127241,0.136132
654.341,0.115691,0.144307,0.108974,0.113087,0.147645,0.149296,0.112703,0.154364,0.108828,0.14804,0.19554,0.166816,0.253287,0.145422,0.110538,0.121998,0.138284,0.179405,0.148581,0.128955,0.115926,0.122002,0.121789,0.163493,0.207128,0.196068,0.17018,0.121437,0.137317,0.116173,0.0564247,0.111395,0.112644,0.145173,0.174449,0.12718,0.135856
656.205,0.113144,0.145433,0.107367,0.111368,0.149498,0.150658,0.110814,0.155751,0.10741,0.145644,0.196099,0.166476,0.250525,0.143898,0.108045,0.120799,0.136342,0.179351,0.146287,0.127975,0.113312,0.123155,0.119927,0.164233,0.205767,0.195003,0.169806,0.121875,0.13581,0.115323,0.0560849,0.10962,0.11278,0.144023,0.174874,0.12548,0.134895
658.069,0.111448,0.147487,0.106364,0.110195,0.15259,0.154269,0.11115,0.158276,0.106157,0.144416,0.19835,0.167529,0.249186,0.143242,0.105453,0.120458,0.135641,0.179193,0.14507,0.127966,0.112512,0.124952,0.118898,0.165601,0.20463,0.195329,0.171372,0.123618,0.134927,0.114586,0.0563494,0.107854,0.114269,0.143128,0.17782,0.123597,0.134388
659.933,0.111038,0.151458,0.105544,0.108739,0.155532,0.158143,0.111062,0.162116,0.104031,0.143294,0.20087,0.168907,0.248539,0.142905,0.104234,0.120709,0.134687,0.179787,0.14417,0.128368,0.111788,0.127381,0.118111,0.167631,0.203071,0.195434,0.173689,0.125762,0.133967,0.11285,0.0565644,0.106448,0.115821,0.14127,0.179888,0.122122,0.133726
661.797,0.111114,0.157309,0.105764,0.108336,0.159241,0.162549,0.111184,0.166616,0.103584,0.142798,0.203398,0.170724,0.248191,0.143118,0.104369,0.121362,0.133484,0.18165,0.143838,0.128978,0.111556,0.130768,0.117327,0.169731,0.201921,0.195307,0.174971,0.128929,0.133292,0.111279,0.056857,0.104803,0.116642,0.138948,0.181178,0.120667,0.132778
663.662,0.109951,0.161374,0.104986,0.107841,0.162967,0.165687,0.110349,0.170518,0.103143,0.14191,0.205961,0.171797,0.246827,0.142605,0.102661,0.12127,0.131137,0.182354,0.142528,0.128126,0.110275,0.133914,0.115504,0.172106,0.201001,0.195443,0.175012,0.132074,0.13194,0.109913,0.0574027,0.102593,0.117554,0.136898,0.182854,0.118206,0.131451
665.526,0.110272,0.16433,0.10458,0.107908,0.165975,0.168013,0.109677,0.173857,0.102649,0.141737,0.209093,0.172671,0.245473,0.142496,0.102024,0.121963,0.130136,0.183514,0.141679,0.128157,0.108999,0.136755,0.114516,0.174513,0.200529,0.196689,0.175963,0.134379,0.131087,0.108472,0.058484,0.10117,0.119372,0.1354,0.184461,0.116485,0.130614
667.39,0.106906,0.167049,0.102113,0.104697,0.168472,0.171913,0.106949,0.17832,0.0991404,0.139,0.210332,0.171373,0.242992,0.140142,0.100296,0.119528,0.127101,0.182441,0.139018,0.126778,0.106807,0.139358,0.111999,0.176056,0.197512,0.196543,0.177481,0.136687,0.129229,0.108101,0.0589247,0.100834,0.121907,0.135184,0.188806,0.116502,0.130285
669.254,0.106453,0.179857,0.103926,0.104742,0.181257,0.185809,0.107591,0.191945,0.099882,0.139029,0.217791,0.176087,0.246186,0.141386,0.101064,0.120166,0.12752,0.185638,0.139793,0.128094,0.107925,0.148323,0.112752,0.183966,0.197116,0.200343,0.184777,0.144013,0.128685,0.110937,0.0613029,0.10345,0.127375,0.137971,0.198693,0.118394,0.13291
671.119,0.104762,0.183241,0.101231,0.103234,0.183982,0.188137,0.105079,0.193564,0.097588,0.135879,0.217806,0.175975,0.242159,0.139532,0.0977756,0.118919,0.124353,0.184785,0.136921,0.125339,0.105049,0.14932,0.110307,0.184616,0.193554,0.198612,0.184212,0.14409,0.124953,0.10839,0.0608259,0.100951,0.126534,0.134489,0.198163,0.115564,0.131358
672.983,0.103492,0.187016,0.0981238,0.101694,0.187073,0.190928,0.103237,0.196757,0.0946097,0.132798,0.217033,0.174934,0.238808,0.137655,0.0953041,0.117117,0.121535,0.183148,0.134264,0.123447,0.102346,0.15039,0.107848,0.185991,0.190511,0.197961,0.184084,0.144809,0.123234,0.106279,0.0598354,0.0984962,0.125549,0.131465,0.197445,0.113443,0.12943
674.847,0.104325,0.196542,0.0978248,0.101855,0.196066,0.199624,0.103122,0.205711,0.094657,0.132555,0.22098,0.177108,0.239671,0.138732,0.0954319,0.117769,0.121238,0.183822,0.133747,0.124665,0.102025,0.156148,0.107849,0.191218,0.190645,0.200857,0.187876,0.149733,0.122876,0.105235,0.0599733,0.0967557,0.126029,0.129892,0.199118,0.111998,0.128902
676.711,0.103609,0.208006,0.0963213,0.101094,0.205426,0.209794,0.101281,0.215861,0.0931378,0.132247,0.225055,0.179121,0.239521,0.138943,0.0939282,0.118163,0.120234,0.184202,0.132533,0.124862,0.100584,0.162424,0.106266,0.196093,0.190406,0.203643,0.191764,0.154789,0.121556,0.103792,0.0601596,0.0945641,0.127155,0.128659,0.200862,0.110418,0.128521
678.575,0.102317,0.218391,0.0954203,0.100216,0.21474,0.220658,0.0998328,0.226529,0.0915662,0.131659,0.227839,0.181445,0.238943,0.138887,0.0928796,0.118645,0.119586,0.185061,0.131776,0.125735,0.0995498,0.167552,0.104426,0.20057,0.18953,0.206536,0.195618,0.158979,0.120403,0.102355,0.0606212,0.0935159,0.12939,0.127585,0.203651,0.109028,0.127753
680.44,0.10055,0.22462,0.0942275,0.0986108,0.220152,0.226509,0.0978125,0.233075,0.0908083,0.130196,0.229517,0.182755,0.237834,0.138349,0.0917108,0.117712,0.11857,0.185624,0.131219,0.125835,0.0980151,0.170265,0.10268,0.202971,0.187948,0.207956,0.197876,0.161376,0.119201,0.100631,0.0612534,0.0924844,0.130378,0.126013,0.205431,0.106936,0.12701
682.304,0.0986697,0.226827,0.0919707,0.0968384,0.22159,0.227989,0.0955274,0.235312,0.0888773,0.129106,0.231025,0.182185,0.237005,0.137654,0.0897982,0.116412,0.117015,0.184942,0.130736,0.124564,0.0960349,0.171628,0.101084,0.203711,0.186366,0.208406,0.198515,0.162768,0.118055,0.0987415,0.0619275,0.0907454,0.130896,0.124619,0.205749,0.104778,0.127156
684.168,0.0957896,0.226989,0.0885882,0.0935296,0.221864,0.228493,0.0931051,0.236254,0.085771,0.127195,0.231285,0.180418,0.235981,0.136121,0.0869763,0.114901,0.114485,0.182917,0.12932,0.123004,0.0932902,0.171978,0.0987983,0.203875,0.183684,0.208347,0.198444,0.162279,0.115664,0.0967891,0.061329,0.088635,0.131131,0.12267,0.206261,0.102683,0.126715
686.032,0.092638,0.229267,0.0861166,0.0902991,0.223786,0.23057,0.091484,0.23801,0.0838221,0.125528,0.231738,0.180278,0.234566,0.134814,0.0845807,0.114671,0.112793,0.181908,0.128398,0.122958,0.0905663,0.173159,0.0970049,0.205327,0.181901,0.20962,0.199405,0.162534,0.11342,0.0945286,0.0612306,0.0861486,0.131439,0.120441,0.20717,0.100711,0.126001
687.896,0.0894062,0.234821,0.0843609,0.0881742,0.228547,0.235597,0.089897,0.243033,0.082165,0.124982,0.234214,0.181751,0.233162,0.134137,0.0831547,0.114392,0.112215,0.182074,0.128312,0.12347,0.08853,0.175869,0.096053,0.208504,0.181775,0.212028,0.202135,0.165439,0.11225,0.0923237,0.0620366,0.0836194,0.133222,0.119103,0.208912,0.0990816,0.125173
689.761,0.087515,0.243535,0.0835417,0.0866401,0.23709,0.244523,0.0882935,0.252557,0.081024,0.124364,0.238415,0.184482,0.233171,0.134494,0.0824199,0.114354,0.112135,0.182943,0.128575,0.124368,0.0874463,0.180715,0.0952872,0.213593,0.181171,0.215537,0.20665,0.170331,0.111937,0.090512,0.0624844,0.0818073,0.135593,0.117516,0.211867,0.0971693,0.124794
691.625,0.0865031,0.254461,0.0830154,0.0847458,0.248124,0.25601,0.087096,0.265065,0.0801143,0.122718,0.242005,0.186797,0.234053,0.134647,0.0815957,0.114712,0.111664,0.183967,0.128733,0.124822,0.0868644,0.187605,0.0946446,0.220832,0.180081,0.219544,0.212339,0.176181,0.111562,0.0891907,0.0635355,0.0810812,0.137851,0.116294,0.215551,0.0960695,0.124706
693.489,0.0849386,0.267639,0.0816437,0.0830712,0.260249,0.268383,0.0859708,0.27932,0.0787509,0.121686,0.245475,0.188191,0.233717,0.133737,0.0807478,0.114494,0.111174,0.184669,0.129041,0.124426,0.0853828,0.195112,0.0940193,0.228548,0.178414,0.223559,0.218795,0.181909,0.109849,0.0883041,0.0648104,0.0805289,0.140654,0.115638,0.219128,0.0955708,0.124686
695.353,0.0837298,0.283716,0.0804096,0.0820289,0.275288,0.283627,0.0846003,0.295827,0.0777826,0.121552,0.250117,0.19024,0.23243,0.133125,0.0801195,0.11378,0.110607,0.185607,0.129486,0.125122,0.0840188,0.202973,0.0930793,0.23725,0.177577,0.227495,0.225458,0.188413,0.108575,0.0873004,0.0653171,0.0794806,0.143611,0.114264,0.223015,0.0947297,0.124356
697.218,0.0829231,0.302948,0.0796563,0.0811864,0.29241,0.302849,0.083501,0.314795,0.0774671,0.120728,0.255908,0.192749,0.230631,0.132918,0.079595,0.113587,0.110555,0.186359,0.129573,0.126399,0.0838074,0.212314,0.0923912,0.247053,0.177234,0.232176,0.231397,0.195942,0.108823,0.0864241,0.0660431,0.078214,0.146935,0.113073,0.227449,0.0942991,0.123268
699.082,0.082379,0.323373,0.0786238,0.0808041,0.311595,0.324268,0.0829024,0.3364,0.077149,0.119979,0.26293,0.195122,0.228987,0.132201,0.079536,0.113226,0.110522,0.18759,0.129787,0.127135,0.0836485,0.222506,0.0925371,0.257432,0.176408,0.237921,0.238501,0.20357,0.108995,0.0866644,0.0676462,0.0778253,0.151308,0.112406,0.233898,0.0946213,0.122858
700.946,0.0820055,0.341797,0.0778981,0.0807133,0.330604,0.344396,0.0827319,0.3576,0.0768572,0.119662,0.270127,0.197639,0.227997,0.131309,0.0791891,0.113115,0.110762,0.189308,0.1302,0.127098,0.083398,0.231627,0.0923413,0.267535,0.175948,0.242602,0.245773,0.210556,0.108867,0.087489,0.0696761,0.0785438,0.156774,0.112801,0.24131,0.0951454,0.12342
702.81,0.0821187,0.359427,0.0781182,0.0808504,0.346642,0.361487,0.083251,0.377542,0.0777339,0.119813,0.276866,0.200114,0.228313,0.131565,0.0793501,0.113688,0.11172,0.191454,0.130975,0.127239,0.0839051,0.240467,0.0921999,0.276361,0.175769,0.247283,0.252273,0.217649,0.109058,0.0879013,0.0715014,0.0790514,0.161625,0.113044,0.24712,0.0957357,0.122841
704.674,0.0824297,0.375626,0.0783035,0.0806171,0.359679,0.375744,0.0832453,0.394588,0.0784893,0.119667,0.282605,0.202115,0.228221,0.132004,0.0795037,0.113978,0.111714,0.193105,0.131188,0.127449,0.0842361,0.248307,0.092604,0.284235,0.174962,0.251971,0.258203,0.22437,0.10904,0.088187,0.0728896,0.078356,0.16534,0.111766,0.252172,0.0962174,0.121509
706.539,0.0812371,0.389957,0.0773185,0.07921,0.373025,0.389877,0.0817294,0.409312,0.0777116,0.118762,0.28814,0.203769,0.226929,0.131024,0.078316,0.112938,0.110135,0.193056,0.129943,0.126214,0.0835358,0.254562,0.0924341,0.291629,0.173477,0.255542,0.263751,0.230716,0.108404,0.0884825,0.074571,0.0779591,0.170628,0.111032,0.257279,0.0958921,0.120519
708.403,0.0799312,0.403462,0.0763377,0.0782749,0.386785,0.403984,0.0803765,0.423688,0.0769025,0.117834,0.294417,0.205706,0.225833,0.130093,0.0775201,0.111647,0.109092,0.19303,0.129418,0.124827,0.0831919,0.260547,0.0923522,0.299873,0.172621,0.258632,0.268667,0.237274,0.108021,0.0886367,0.0774796,0.0781122,0.176376,0.110351,0.260743,0.0954927,0.119739
710.267,0.0794438,0.415875,0.075695,0.077506,0.398957,0.416832,0.0792879,0.438002,0.0759834,0.116628,0.299455,0.207781,0.225123,0.128891,0.0770292,0.110306,0.108133,0.192259,0.128674,0.123787,0.0822449,0.267115,0.0918029,0.308293,0.171489,0.262412,0.27315,0.244626,0.107469,0.0891078,0.080808,0.0772004,0.181079,0.109187,0.264147,0.0955976,0.118846
