Wavenumber,sa22082.02,sa22082.03,sa22089.13,sa22089.12,sa22087.13,sa22087.12,sa22085.08,sa22085.07,sa22079.08,sa22079.07,sa22076.08,sa22076.07,sa22073.08,sa22073.07,sa22070.08,sa22070.07,sa22089.09,sa22089.08,sa22087.09,sa22087.08,sa22085.04,sa22085.03,sa22081.03,sa22081.04,sa22079.04,sa22079.03,sa22076.04,sa22076.03,sa22073.04,sa22073.03,sa22070.04,sa22070.03
648.387,0.18004,0.191954,0.136433,0.137452,0.143549,0.127646,0.132749,0.119627,0.196871,0.192676,0.190983,0.18337,0.123033,0.13332,0.155382,0.173351,0.13724,0.131413,0.139564,0.158431,0.127296,0.146544,0.173296,0.167798,0.143729,0.198016,0.149991,0.161035,0.137058,0.134754,0.168333,0.171093
652.113,0.182392,0.195138,0.134196,0.135497,0.147177,0.132018,0.130447,0.117756,0.195121,0.190149,0.194014,0.185815,0.120358,0.131326,0.156755,0.178078,0.134939,0.129174,0.143214,0.163072,0.125168,0.144236,0.176343,0.170056,0.14184,0.195996,0.153364,0.16451,0.134696,0.132629,0.169772,0.173892
655.84,0.186029,0.199177,0.132076,0.13323,0.152719,0.137537,0.128119,0.115065,0.192966,0.187556,0.198614,0.189222,0.118008,0.128538,0.158819,0.185111,0.132365,0.127306,0.148756,0.169531,0.122792,0.141803,0.180321,0.17362,0.139787,0.194087,0.158725,0.169655,0.132512,0.130255,0.17202,0.17807
659.566,0.191145,0.205062,0.129694,0.130983,0.160178,0.144788,0.125851,0.111782,0.190861,0.185208,0.205304,0.194411,0.11584,0.125591,0.162613,0.195239,0.13004,0.124852,0.156299,0.179026,0.120415,0.139752,0.185997,0.178588,0.13827,0.192243,0.16559,0.17693,0.130131,0.127795,0.175002,0.184572
663.293,0.195608,0.210334,0.125483,0.127546,0.168433,0.152886,0.122364,0.108597,0.187402,0.181798,0.211739,0.198749,0.11231,0.121765,0.165849,0.205721,0.126308,0.120586,0.163844,0.188868,0.117128,0.136691,0.191734,0.183151,0.135363,0.188606,0.172757,0.184198,0.126846,0.124092,0.177067,0.191163
667.019,0.202948,0.219832,0.12198,0.124361,0.181935,0.166888,0.119288,0.106212,0.184986,0.179036,0.222641,0.206254,0.109264,0.118478,0.170801,0.223576,0.122915,0.117292,0.177715,0.205592,0.114487,0.133935,0.201588,0.191865,0.132078,0.185633,0.185691,0.197105,0.124018,0.120818,0.181232,0.202305
670.745,0.210676,0.230053,0.11949,0.121135,0.19611,0.181979,0.116384,0.102933,0.182632,0.175989,0.233979,0.214417,0.106597,0.11544,0.176201,0.24383,0.119806,0.114229,0.19395,0.225824,0.11199,0.131385,0.212264,0.201182,0.128846,0.183204,0.200104,0.211523,0.120768,0.117554,0.185668,0.214624
674.472,0.215321,0.23566,0.115834,0.117346,0.205379,0.191185,0.113404,0.0989323,0.179757,0.172655,0.240677,0.219241,0.103169,0.11205,0.179874,0.257208,0.116181,0.110598,0.205064,0.240179,0.108729,0.128486,0.219362,0.206666,0.1253,0.180344,0.209879,0.221568,0.117221,0.113966,0.18786,0.222971
678.198,0.222298,0.244166,0.111704,0.113315,0.21809,0.203257,0.1103,0.0947145,0.177245,0.169705,0.250103,0.225831,0.0993227,0.108321,0.184912,0.275174,0.112416,0.106572,0.220338,0.259442,0.105056,0.125585,0.229664,0.214937,0.121553,0.177729,0.223183,0.235201,0.113838,0.110131,0.191374,0.234991
681.924,0.226367,0.249331,0.108184,0.109608,0.22517,0.21054,0.107422,0.0904663,0.175154,0.167329,0.255718,0.229307,0.0959933,0.104539,0.187742,0.284736,0.108949,0.10245,0.228464,0.269935,0.102176,0.123239,0.235057,0.220258,0.118165,0.175645,0.230147,0.242422,0.110735,0.106454,0.193872,0.241804
