Wavenumber,sa22068.03,sa22068.04,sa22068.05,sa22068.08,sa22068.09,sa22069.00,sa22069.03,sa22069.04,sa22069.05,sa22069.08,sa22069.09,sa22070.00,sa22071.03,sa22071.04,sa22071.05,sa22071.08,sa22071.09,sa22072.00,sa22072.08,sa22072.09,sa22073.00,sa22074.03,sa22074.04,sa22074.05,sa22074.08,sa22074.09,sa22075.00,sa22075.03,sa22075.04,sa22075.05,sa22075.08,sa22075.09,sa22076.00,sa22077.03,sa22077.04,sa22077.05,sa22077.08,sa22077.09,sa22078.00,sa22078.08,sa22078.09,sa22079.00,sa22080.03,sa22080.04,sa22080.05,sa22080.08,sa22080.09,sa22080.10,sa22080.13,sa22080.14,sa22080.15,sa22080.18,sa22080.19,sa22081.00,sa22083.03,sa22083.04,sa22083.05,sa22083.08,sa22083.09,sa22084.00,sa22084.08,sa22084.09,sa22085.00,sa22086.03,sa22086.04,sa22086.05,sa22086.08,sa22086.09,sa22086.10,sa22086.13,sa22086.14,sa22087.00,sa22087.03,sa22087.04,sa22087.05,sa22088.03,sa22088.04,sa22088.05,sa22088.08,sa22088.09,sa22088.10,sa22089.03,sa22089.04,sa22089.05
650.612,0.11798,0.14672,0.197971,0.0789213,0.0481451,0.0983381,0.148317,0.158689,0.130559,0.169921,0.14642,0.171095,0.103156,0.111168,0.0974908,0.153186,0.132673,0.111333,0.109214,0.129209,0.123904,0.156504,0.137829,0.149623,0.162718,0.0719157,0.0459472,0.146261,0.15007,0.105645,0.201416,0.0806951,0.150494,0.136791,0.189127,0.173166,0.104401,0.107912,0.105406,0.131847,0.117591,0.131078,0.115438,0.13329,0.131509,0.14266,0.191954,0.158092,0.138186,0.131499,0.130182,0.153799,0.154438,0.211911,0.10601,0.131308,0.119241,0.120755,0.12858,0.109997,0.121382,0.137378,0.126412,0.113187,0.0909744,0.15404,0.142938,0.194993,0.196254,0.115686,0.124075,0.115874,0.158445,0.14496,0.140176,0.107382,0.106657,0.106942,0.146341,0.111841,0.122815,0.109088,0.114525,0.118994
652.476,0.117493,0.145978,0.197369,0.0794422,0.0488668,0.0996395,0.149816,0.161189,0.131619,0.169507,0.146976,0.169547,0.101386,0.109942,0.0961053,0.151701,0.130845,0.109776,0.108038,0.12796,0.122593,0.156237,0.137588,0.149363,0.165047,0.0730035,0.0462487,0.148362,0.152166,0.107094,0.202216,0.0807483,0.152018,0.135542,0.186992,0.171824,0.103867,0.106419,0.103945,0.130714,0.116863,0.130327,0.11523,0.132176,0.131671,0.143207,0.192761,0.160444,0.140193,0.132562,0.131451,0.155291,0.156151,0.211216,0.104546,0.129448,0.116852,0.119274,0.127968,0.108546,0.120154,0.136123,0.124744,0.113513,0.0919269,0.153567,0.144124,0.19431,0.19751,0.116814,0.125281,0.116932,0.160498,0.146807,0.142029,0.105837,0.105416,0.104954,0.144104,0.110166,0.121414,0.108037,0.113544,0.117798
654.341,0.11702,0.146268,0.198081,0.0804979,0.0486134,0.100689,0.1517,0.164319,0.133271,0.16972,0.147891,0.168643,0.0993106,0.108329,0.0941448,0.150293,0.129085,0.108399,0.106121,0.126835,0.120604,0.15576,0.136868,0.148736,0.166699,0.0734087,0.0465564,0.150341,0.153974,0.108654,0.203748,0.0816626,0.153504,0.133394,0.18499,0.170022,0.102731,0.104817,0.102369,0.129946,0.115993,0.128713,0.115281,0.132774,0.131785,0.143935,0.193754,0.163494,0.141781,0.134238,0.133925,0.157548,0.159198,0.2117,0.10314,0.127766,0.114897,0.117702,0.127458,0.10794,0.119113,0.134909,0.124159,0.114206,0.0921406,0.153973,0.145626,0.195511,0.199543,0.11854,0.126764,0.117959,0.162607,0.149563,0.144561,0.104485,0.103689,0.103739,0.141526,0.108371,0.119951,0.106819,0.112261,0.116437
656.205,0.117659,0.147445,0.199689,0.0820257,0.048795,0.101668,0.154168,0.166083,0.13514,0.169223,0.148975,0.168503,0.0976003,0.10683,0.0925042,0.148464,0.12747,0.107303,0.10442,0.125785,0.118918,0.156263,0.136689,0.1494,0.16839,0.0739649,0.0469055,0.151815,0.156376,0.109448,0.205894,0.0819276,0.15453,0.131847,0.183506,0.168767,0.101013,0.103457,0.101081,0.128588,0.114161,0.126974,0.11571,0.133826,0.132428,0.1459,0.196801,0.166643,0.143422,0.135986,0.135892,0.160786,0.161848,0.213069,0.101791,0.127005,0.114094,0.116374,0.126257,0.10716,0.117247,0.132779,0.122976,0.115705,0.0921185,0.156572,0.147642,0.197347,0.201453,0.120079,0.128053,0.119275,0.165247,0.152113,0.146796,0.103293,0.102601,0.103055,0.139712,0.107312,0.117773,0.105003,0.110595,0.114173
658.069,0.119138,0.148847,0.202006,0.0832009,0.049556,0.10359,0.157792,0.167926,0.137952,0.16894,0.150656,0.168208,0.0966209,0.105838,0.0918523,0.146562,0.125051,0.105705,0.102933,0.124439,0.11749,0.1578,0.13703,0.152302,0.171292,0.0748377,0.0475305,0.154463,0.159792,0.111066,0.208979,0.0824189,0.156649,0.131117,0.182848,0.167735,0.100049,0.102355,0.0998286,0.127443,0.112542,0.125806,0.116625,0.135438,0.133496,0.148781,0.201291,0.171044,0.145978,0.138662,0.138454,0.164699,0.164749,0.214629,0.100713,0.126165,0.113435,0.114517,0.125087,0.106056,0.115445,0.130775,0.121218,0.118042,0.0939184,0.160607,0.15053,0.198954,0.204766,0.121739,0.129831,0.121189,0.168745,0.15498,0.150085,0.102644,0.101319,0.102384,0.138416,0.105824,0.116489,0.104014,0.10931,0.111897
659.933,0.119723,0.148861,0.203895,0.0845528,0.0505669,0.105826,0.161375,0.171833,0.140554,0.168984,0.152373,0.167116,0.0953562,0.104357,0.0906213,0.144877,0.122693,0.103515,0.101627,0.122557,0.115294,0.15808,0.1366,0.152849,0.174139,0.075601,0.0483323,0.157452,0.163144,0.112993,0.21169,0.0832636,0.159032,0.129279,0.181382,0.166063,0.0991221,0.100469,0.0982044,0.125808,0.110813,0.123843,0.117188,0.136692,0.134472,0.151114,0.205999,0.176062,0.148721,0.141476,0.141345,0.167602,0.168194,0.216063,0.0995153,0.125232,0.11195,0.112984,0.123888,0.105151,0.113794,0.128804,0.119188,0.119787,0.0952306,0.16356,0.153864,0.201528,0.208262,0.123833,0.132426,0.124245,0.171626,0.158043,0.153918,0.101444,0.0989327,0.101012,0.136497,0.10396,0.115039,0.102742,0.107418,0.110299
661.797,0.11981,0.148856,0.204783,0.085866,0.0511275,0.108259,0.164527,0.176062,0.142747,0.168374,0.154508,0.166577,0.0938488,0.10257,0.0895262,0.144149,0.121203,0.102541,0.100429,0.120537,0.113606,0.158103,0.136332,0.15253,0.177291,0.0773343,0.0489191,0.160885,0.166475,0.114575,0.214908,0.0840347,0.161581,0.127396,0.180013,0.1647,0.0978533,0.0988825,0.0966418,0.124123,0.109513,0.122079,0.117845,0.136777,0.134963,0.153795,0.21094,0.181602,0.151887,0.143989,0.143584,0.170336,0.172609,0.217825,0.0982834,0.124082,0.110667,0.111945,0.121992,0.104586,0.112027,0.127015,0.117159,0.121197,0.095247,0.165331,0.15743,0.204881,0.211802,0.126322,0.134959,0.126836,0.174594,0.1613,0.156743,0.10014,0.0975178,0.0993716,0.134585,0.10278,0.11366,0.101185,0.105605,0.108892
663.662,0.119719,0.149136,0.204568,0.0872555,0.0512904,0.110717,0.167497,0.179236,0.144999,0.167797,0.157131,0.166638,0.0919568,0.100795,0.0882586,0.142138,0.119678,0.101606,0.0989044,0.11865,0.112052,0.158216,0.134618,0.15241,0.181034,0.0796335,0.049781,0.163823,0.169213,0.116122,0.218943,0.0849604,0.164061,0.126155,0.178505,0.163116,0.0966425,0.0980834,0.0957706,0.123137,0.108886,0.120551,0.117807,0.137031,0.134678,0.15675,0.216228,0.187531,0.155299,0.146022,0.145627,0.174093,0.176794,0.220914,0.0964913,0.121657,0.108913,0.110389,0.120456,0.103433,0.110365,0.124754,0.114911,0.121444,0.0954801,0.166003,0.161517,0.208216,0.216444,0.128074,0.137316,0.128491,0.178276,0.165263,0.159952,0.0978931,0.095711,0.0968858,0.13218,0.101504,0.11184,0.0994948,0.104429,0.106998
665.526,0.119698,0.149007,0.20344,0.086455,0.0493953,0.110089,0.169701,0.180034,0.145313,0.167037,0.159257,0.166086,0.0895344,0.0989888,0.0862358,0.137317,0.116062,0.0972401,0.0959735,0.116585,0.109835,0.158032,0.133428,0.151799,0.182101,0.0789585,0.0486497,0.165776,0.170874,0.117397,0.220864,0.0849437,0.16471,0.124541,0.176443,0.161139,0.0934658,0.0950808,0.0922429,0.121282,0.106207,0.118379,0.117706,0.137832,0.135026,0.156399,0.217678,0.190272,0.157128,0.147497,0.14752,0.176469,0.178695,0.221771,0.0948893,0.119069,0.10711,0.106485,0.116772,0.0986695,0.108301,0.122732,0.112584,0.121612,0.095733,0.166758,0.162174,0.208919,0.218284,0.129417,0.13914,0.130331,0.180658,0.166998,0.162683,0.0956309,0.0942895,0.0952782,0.128005,0.0973271,0.107834,0.0973661,0.102324,0.105438
667.39,0.1208,0.150492,0.206092,0.0889441,0.0499628,0.114697,0.173884,0.182965,0.146749,0.168499,0.162425,0.166049,0.0897827,0.0983764,0.0853645,0.13599,0.114835,0.0959046,0.0940184,0.114642,0.108405,0.159783,0.135459,0.154024,0.188769,0.0802566,0.0489867,0.169496,0.174407,0.118164,0.225592,0.0851505,0.168188,0.123904,0.176476,0.161023,0.0939677,0.095002,0.0905289,0.119655,0.103724,0.116738,0.119517,0.139754,0.136305,0.161699,0.226344,0.199391,0.159297,0.149436,0.15011,0.18104,0.183618,0.224032,0.0957021,0.119972,0.107802,0.104571,0.115602,0.0964756,0.106171,0.120583,0.110467,0.124474,0.0973691,0.169955,0.169164,0.214398,0.225452,0.130631,0.141542,0.131183,0.186629,0.170413,0.167472,0.0959503,0.0948606,0.0957716,0.126708,0.095415,0.107402,0.0944367,0.0988806,0.102971
669.254,0.123051,0.155529,0.212845,0.0948154,0.054597,0.125508,0.193048,0.20202,0.161937,0.174233,0.17059,0.171334,0.0931091,0.100355,0.0876614,0.139469,0.117622,0.0998657,0.0965911,0.117471,0.111905,0.16592,0.139522,0.159629,0.203378,0.0854784,0.0535301,0.186829,0.192513,0.129202,0.24134,0.0901006,0.180837,0.126277,0.179116,0.163703,0.0992627,0.0981242,0.0936094,0.122808,0.107649,0.120784,0.122918,0.143969,0.140197,0.176097,0.244835,0.218597,0.175734,0.164671,0.165272,0.197889,0.200742,0.2378,0.0978691,0.123686,0.110669,0.108282,0.120025,0.101102,0.110127,0.12362,0.114279,0.13015,0.100445,0.17725,0.185599,0.227617,0.244577,0.144819,0.156577,0.143987,0.203588,0.186862,0.184279,0.0990331,0.0970499,0.0987248,0.131213,0.0999376,0.111279,0.097724,0.102448,0.106187
671.119,0.121722,0.154359,0.209892,0.0936937,0.0539778,0.123821,0.194913,0.203828,0.16309,0.172599,0.172065,0.170706,0.0901573,0.0980017,0.0852041,0.13686,0.114619,0.0974461,0.0943124,0.114794,0.109155,0.164582,0.137066,0.157926,0.203456,0.0842656,0.053553,0.187481,0.194685,0.129381,0.242968,0.0892989,0.181211,0.122816,0.175653,0.160108,0.0965178,0.0951213,0.091506,0.119613,0.104922,0.118181,0.120863,0.142303,0.138446,0.176601,0.244069,0.219638,0.178183,0.166192,0.166728,0.20047,0.203156,0.238338,0.0941998,0.119485,0.107176,0.106167,0.117465,0.098661,0.10739,0.120985,0.111223,0.128335,0.0984182,0.176046,0.187133,0.225708,0.246157,0.146926,0.158086,0.145265,0.204647,0.189353,0.186276,0.0956026,0.0938066,0.095442,0.128185,0.0972296,0.107149,0.0949299,0.0998474,0.102521
672.983,0.1216,0.153229,0.208314,0.092727,0.053201,0.122683,0.198339,0.207947,0.165598,0.172359,0.174739,0.170422,0.0874353,0.0957374,0.082676,0.134326,0.112235,0.0951778,0.0924145,0.113634,0.107574,0.162788,0.135886,0.157054,0.202845,0.0826028,0.0524223,0.190953,0.19826,0.132008,0.24632,0.0894938,0.183827,0.120845,0.173684,0.157821,0.0938645,0.0928693,0.0898894,0.117718,0.102862,0.116014,0.119574,0.141413,0.137294,0.176827,0.243234,0.220781,0.182872,0.169464,0.170054,0.204238,0.20712,0.240746,0.0916823,0.116454,0.104585,0.104184,0.115481,0.0962058,0.10557,0.11934,0.109299,0.12729,0.0973481,0.174943,0.18919,0.223882,0.248533,0.149771,0.161015,0.147873,0.20683,0.193868,0.189612,0.0934137,0.0917069,0.0928675,0.12524,0.094148,0.104182,0.0931271,0.0978477,0.100576
674.847,0.12202,0.152843,0.209478,0.0931715,0.053162,0.123923,0.207594,0.216734,0.170741,0.173967,0.178461,0.170864,0.0861525,0.0939262,0.0813521,0.131991,0.110443,0.0931239,0.0906149,0.11283,0.106548,0.162381,0.136026,0.15722,0.205404,0.0826113,0.0522165,0.198896,0.206204,0.13719,0.253439,0.0900814,0.18935,0.120264,0.1726,0.15681,0.0918617,0.0910287,0.0876643,0.11649,0.100691,0.114183,0.11993,0.1417,0.137088,0.180218,0.245234,0.224015,0.191444,0.17625,0.176853,0.210974,0.214177,0.245295,0.0902978,0.114781,0.103032,0.10233,0.113835,0.0949051,0.10399,0.117444,0.108246,0.12725,0.0977023,0.175713,0.193428,0.224962,0.255266,0.155659,0.167812,0.154029,0.211717,0.201555,0.19636,0.0923203,0.0904038,0.0914766,0.123368,0.092314,0.102864,0.0917786,0.0967944,0.0994162
676.711,0.121692,0.152375,0.210926,0.0942153,0.0540556,0.127138,0.218966,0.226773,0.176592,0.176683,0.184444,0.1736,0.0849466,0.091968,0.0803005,0.129928,0.108436,0.0915275,0.0898134,0.111724,0.105147,0.163304,0.135586,0.157879,0.211152,0.0837419,0.0522008,0.207565,0.21671,0.142038,0.262996,0.091086,0.196249,0.118041,0.17096,0.155559,0.0902402,0.0898547,0.0854158,0.115052,0.0986397,0.11268,0.120235,0.142223,0.137288,0.185438,0.249517,0.229409,0.199977,0.184225,0.184691,0.219853,0.224213,0.25114,0.0889919,0.113295,0.100873,0.100333,0.112012,0.0937988,0.101854,0.115676,0.10692,0.127913,0.0982533,0.176519,0.199864,0.22709,0.264413,0.162402,0.175779,0.160184,0.217833,0.210377,0.20558,0.0904832,0.0887631,0.0898539,0.121464,0.0911398,0.100999,0.0902598,0.0952099,0.0978127
