Wavenumber,sa22082.02,sa22082.03,sa22089.13,sa22089.12,sa22087.13,sa22087.12,sa22085.08,sa22085.07,sa22089.08,sa22087.09,sa22087.08,sa22085.04,sa22085.03,sa22081.03,sa22081.04,sa22079.04,sa22079.03,sa22076.04,sa22076.03,sa22073.04,sa22073.03,sa22070.04,sa22070.03,sa22072.05,sa22072.04,sa22069.05,sa22069.04,sa22087.00,sa22086.14,sa22089.00,sa22088.14,sa22084.05,sa22084.04,sa22078.05,sa22078.04,sa22075.05,sa22075.04,sa22080.15,sa22080.14,sa22071.00,sa22070.09,sa22068.00,sa22067.59,sa22065.50,sa22064.59,sa22062.50,sa22061.59,sa22059.50,sa22058.59,sa22056.50,sa22073.09,sa22086.10,sa22086.09,sa22081.10,sa22088.09,sa22078.00,sa22075.00,sa22074.09,sa22069.00,sa22068.09,sa22063.50,sa22062.59,sa22060.50,sa22059.59,sa22057.50,sa22056.59,sa22065.55,sa22065.54,sa22062.55,sa22062.54,sa22059.54,sa22059.54,sa22056.55,sa22056.04,sa22088.04,sa22088.05,sa22086.04,sa22086.05,sa22083.05,sa22083.04,sa22080.05,sa22080.04,sa22077.05,sa22077.04,sa22074.05,sa22074.04,sa22071.05,sa22071.04,sa22068.05,sa22068.04,sa22089.14,sa22088.00,sa22087.14,sa22085.09,sa22083.00,sa22082.04,sa22080.00,sa22079.09,sa22077.00,sa22076.09,sa22074.00,sa22089.04,sa22089.05,sa22087.05,sa22087.04,sa22084.09,sa22085.00,sa22081.00,sa22080.19,sa22078.09,sa22079.00,sa22076.00,sa22075.09,sa22072.09,sa22073.00,sa22070.00,sa22069.09
648.387,0.18004,0.191954,0.136433,0.137452,0.143549,0.127646,0.132749,0.119627,0.131413,0.139564,0.158431,0.127296,0.146544,0.173296,0.167798,0.143729,0.198016,0.149991,0.161035,0.137058,0.134754,0.168333,0.171093,0.145885,0.13179,0.124896,0.102328,0.137269,0.150317,0.14941,0.145924,0.143904,0.13302,0.14958,0.147516,0.128989,0.120418,0.125399,0.104466,0.0912229,0.100977,0.0902273,0.09292,0.09414,0.104237,0.130562,0.0940211,0.0949444,0.0531536,0.0656679,0.0845589,0.0474114,0.049573,0.0486698,0.0489305,0.104342,0.0466214,0.0507435,0.0410121,0.0509324,0.054217,0.0628605,0.124062,0.142519,0.0521538,0.054051,0.142721,0.140393,0.212534,0.225429,0.199985,0.15961,0.202309,0.200428,0.12833,0.130123,0.127513,0.134007,0.146212,0.145738,0.149431,0.164602,0.189666,0.212365,0.143899,0.102835,0.142496,0.141316,0.1402,0.158293,0.110092,0.110021,0.117623,0.0975862,0.108337,0.136078,0.121265,0.125713,0.120544,0.14087,0.137877,0.1323,0.125812,0.0899592,0.0851402,0.118221,0.119864,0.0995176,0.0897393,0.121328,0.116619,0.0754584,0.0823928,0.121235,0.120648,0.0878907,0.0867923
652.113,0.182392,0.195138,0.134196,0.135497,0.147177,0.132018,0.130447,0.117756,0.129174,0.143214,0.163072,0.125168,0.144236,0.176343,0.170056,0.14184,0.195996,0.153364,0.16451,0.134696,0.132629,0.169772,0.173892,0.144309,0.129689,0.12592,0.10253,0.140631,0.153762,0.147557,0.144208,0.142007,0.131868,0.148139,0.146031,0.130717,0.121623,0.126814,0.105308,0.0893909,0.102669,0.0918038,0.0906975,0.0916438,0.104798,0.131816,0.0917715,0.0923464,0.0532952,0.0661198,0.0828389,0.0475913,0.0502512,0.0498053,0.049584,0.103288,0.0474743,0.0519263,0.0419093,0.0514696,0.0556013,0.0635326,0.122344,0.140171,0.0529773,0.054779,0.14082,0.138288,0.215788,0.227939,0.197506,0.157948,0.203266,0.202716,0.126396,0.12874,0.128623,0.137962,0.14419,0.143912,0.151367,0.166669,0.187192,0.20922,0.144605,0.102929,0.140779,0.139549,0.140952,0.158922,0.107353,0.107615,0.121634,0.0956044,0.105834,0.138781,0.124085,0.126362,0.120966,0.144347,0.141413,0.130476,0.124588,0.0925552,0.087337,0.11696,0.11798,0.101677,0.0922284,0.119564,0.1151,0.0768069,0.0841378,0.119112,0.119148,0.0901224,0.0888886
655.84,0.186029,0.199177,0.132076,0.13323,0.152719,0.137537,0.128119,0.115065,0.127306,0.148756,0.169531,0.122792,0.141803,0.180321,0.17362,0.139787,0.194087,0.158725,0.169655,0.132512,0.130255,0.17202,0.17807,0.142356,0.128304,0.127523,0.103148,0.145551,0.159641,0.14551,0.14228,0.13992,0.129652,0.146424,0.144164,0.132887,0.123359,0.129478,0.106964,0.0878794,0.105279,0.0935822,0.0879044,0.0886376,0.105661,0.133274,0.0895983,0.0902021,0.0532825,0.0665481,0.080543,0.048217,0.0509444,0.0512242,0.0504263,0.102333,0.0483176,0.0534686,0.0427033,0.0522923,0.0571969,0.0643783,0.119954,0.137441,0.0538522,0.0556162,0.137983,0.135918,0.220799,0.231507,0.194892,0.155552,0.204925,0.205061,0.124213,0.126328,0.13098,0.143699,0.141817,0.141843,0.153971,0.168949,0.184332,0.206483,0.14569,0.102541,0.13841,0.136934,0.142283,0.159647,0.103998,0.104606,0.127236,0.0942684,0.103252,0.14262,0.12674,0.127164,0.121583,0.149071,0.146238,0.128286,0.122774,0.0953945,0.0893488,0.114992,0.115753,0.104189,0.0953487,0.117522,0.113568,0.0787602,0.0862435,0.117102,0.117546,0.0922839,0.0912318
659.566,0.191145,0.205062,0.129694,0.130983,0.160178,0.144788,0.125851,0.111782,0.124852,0.156299,0.179026,0.120415,0.139752,0.185997,0.178588,0.13827,0.192243,0.16559,0.17693,0.130131,0.127795,0.175002,0.184572,0.13973,0.127179,0.129723,0.104024,0.15219,0.16719,0.143012,0.139953,0.137746,0.127044,0.144513,0.142271,0.136083,0.125579,0.133404,0.110078,0.0868662,0.108228,0.0960908,0.0855464,0.0861041,0.106786,0.1357,0.0880984,0.0886351,0.053286,0.0668638,0.0788338,0.0493105,0.0521077,0.052901,0.0516027,0.101616,0.0497521,0.0549954,0.0437279,0.0540274,0.0593478,0.0658036,0.11748,0.134741,0.0552527,0.0566975,0.134954,0.133168,0.227927,0.236618,0.192493,0.152593,0.207442,0.208888,0.121691,0.123964,0.134048,0.151468,0.139248,0.139405,0.157675,0.17248,0.181719,0.203974,0.147282,0.10351,0.135689,0.134122,0.144429,0.161851,0.100548,0.101168,0.134715,0.0942118,0.100819,0.147831,0.130787,0.128068,0.122757,0.155689,0.151912,0.126475,0.120553,0.0991603,0.0922349,0.112655,0.113649,0.107699,0.0996824,0.1154,0.111754,0.0810196,0.0890134,0.115126,0.115558,0.0952535,0.0945388
663.293,0.195608,0.210334,0.125483,0.127546,0.168433,0.152886,0.122364,0.108597,0.120586,0.163844,0.188868,0.117128,0.136691,0.191734,0.183151,0.135363,0.188606,0.172757,0.184198,0.126846,0.124092,0.177067,0.191163,0.135913,0.124389,0.130711,0.102791,0.15879,0.174443,0.139712,0.13622,0.134435,0.123883,0.141312,0.139241,0.138051,0.126699,0.13529,0.109721,0.0845478,0.110888,0.097241,0.0826272,0.0832814,0.107071,0.137208,0.0856619,0.086467,0.0528146,0.0667337,0.0765656,0.0503393,0.0530343,0.053938,0.0527533,0.0998437,0.0512469,0.0561308,0.0448978,0.0548429,0.0613385,0.0672894,0.115282,0.1316,0.0567499,0.0576993,0.131437,0.129621,0.233006,0.239954,0.189364,0.148676,0.208892,0.212091,0.118285,0.120913,0.136091,0.159293,0.136141,0.136097,0.160914,0.175366,0.178132,0.200424,0.148127,0.103409,0.131917,0.130609,0.145433,0.162444,0.0967749,0.0969299,0.142312,0.093082,0.0976761,0.150838,0.132123,0.126495,0.121194,0.161377,0.155964,0.1236,0.117562,0.102412,0.0951124,0.109599,0.11049,0.111235,0.102925,0.112489,0.108144,0.0831439,0.091521,0.11211,0.112794,0.0980967,0.0977679
667.019,0.202948,0.219832,0.12198,0.124361,0.181935,0.166888,0.119288,0.106212,0.117292,0.177715,0.205592,0.114487,0.133935,0.201588,0.191865,0.132078,0.185633,0.185691,0.197105,0.124018,0.120818,0.181232,0.202305,0.13414,0.122012,0.13281,0.101359,0.171032,0.18851,0.13829,0.134343,0.132639,0.122676,0.138627,0.137289,0.141929,0.129198,0.139158,0.111977,0.0824868,0.115396,0.0989524,0.0798389,0.0804623,0.1091,0.140897,0.0836432,0.0847568,0.0527148,0.0676474,0.0753474,0.051485,0.0546577,0.0558775,0.053916,0.0990727,0.0530759,0.0578935,0.0469605,0.0566412,0.0635762,0.0692485,0.113817,0.130018,0.0587084,0.0587581,0.128907,0.127088,0.240708,0.245128,0.187682,0.146166,0.212316,0.216936,0.116299,0.119025,0.139761,0.172564,0.134012,0.133517,0.165737,0.179932,0.175666,0.197896,0.149575,0.103632,0.129494,0.12826,0.147087,0.163753,0.0936158,0.0941161,0.156791,0.0916942,0.0950905,0.156438,0.135616,0.123944,0.118325,0.169622,0.162681,0.121907,0.116004,0.107039,0.0989351,0.107209,0.108145,0.116589,0.106291,0.110282,0.104547,0.0866552,0.0956892,0.109358,0.111058,0.102335,0.102289
670.745,0.210676,0.230053,0.11949,0.121135,0.19611,0.181979,0.116384,0.102933,0.114229,0.19395,0.225824,0.11199,0.131385,0.212264,0.201182,0.128846,0.183204,0.200104,0.211523,0.120768,0.117554,0.185668,0.214624,0.132849,0.119473,0.135687,0.100738,0.18747,0.207288,0.137139,0.133802,0.131695,0.122335,0.136444,0.135912,0.146981,0.132802,0.145031,0.116132,0.0805611,0.120032,0.102045,0.0769261,0.0772332,0.112359,0.146354,0.0817365,0.0824513,0.0529557,0.0694087,0.074298,0.0522533,0.0560537,0.0579612,0.0547367,0.0987681,0.054487,0.0591693,0.0485301,0.0585975,0.0650864,0.0706813,0.111891,0.128942,0.0601141,0.0604644,0.125999,0.124469,0.248843,0.250213,0.186095,0.143771,0.215624,0.222347,0.115013,0.117533,0.14296,0.187675,0.131555,0.13124,0.17046,0.184545,0.173384,0.195901,0.150942,0.105478,0.127544,0.126073,0.148805,0.165437,0.0903183,0.0915541,0.176091,0.0893421,0.0923553,0.164221,0.139887,0.120647,0.115882,0.179965,0.172051,0.120419,0.115112,0.11186,0.102643,0.104744,0.106386,0.121131,0.111851,0.107972,0.103247,0.0898834,0.0988918,0.106754,0.108766,0.106,0.106167
674.472,0.215321,0.23566,0.115834,0.117346,0.205379,0.191185,0.113404,0.0989323,0.110598,0.205064,0.240179,0.108729,0.128486,0.219362,0.206666,0.1253,0.180344,0.209879,0.221568,0.117221,0.113966,0.18786,0.222971,0.129346,0.116121,0.13692,0.0992359,0.201897,0.223483,0.133537,0.131294,0.128828,0.119758,0.133615,0.132996,0.150383,0.135066,0.148931,0.116603,0.0772761,0.122984,0.103859,0.0736972,0.0737665,0.114265,0.150023,0.0790054,0.0792936,0.0528425,0.0697743,0.0711887,0.0523847,0.0557456,0.0580138,0.0544319,0.0962944,0.0547706,0.0592353,0.0486044,0.0579641,0.0651635,0.0710069,0.109494,0.126464,0.0604191,0.0608542,0.122632,0.121057,0.251548,0.250949,0.183184,0.140464,0.216756,0.224154,0.112351,0.114609,0.143778,0.19627,0.128426,0.128397,0.172524,0.186099,0.17021,0.192764,0.150709,0.104354,0.124608,0.123173,0.149205,0.165352,0.0866055,0.0872375,0.193463,0.0850612,0.0881259,0.169195,0.142065,0.116565,0.112117,0.187586,0.179014,0.117871,0.112499,0.113326,0.10341,0.101793,0.103407,0.122394,0.114544,0.105041,0.101536,0.090472,0.0996065,0.103834,0.105816,0.106576,0.106951
678.198,0.222298,0.244166,0.111704,0.113315,0.21809,0.203257,0.1103,0.0947145,0.106572,0.220338,0.259442,0.105056,0.125585,0.229664,0.214937,0.121553,0.177729,0.223183,0.235201,0.113838,0.110131,0.191374,0.234991,0.125187,0.112697,0.138936,0.0982864,0.220661,0.244529,0.128808,0.127126,0.124951,0.116082,0.130095,0.129344,0.154875,0.138106,0.153669,0.119526,0.0732381,0.126882,0.105546,0.0700442,0.070368,0.11683,0.155553,0.0761189,0.0766434,0.0530284,0.0701021,0.0674048,0.0528916,0.0557514,0.0582484,0.054429,0.0935812,0.0553038,0.0594301,0.0487515,0.0585976,0.0655393,0.0711884,0.107235,0.122858,0.0610585,0.0605546,0.11941,0.117447,0.255409,0.253442,0.180457,0.137289,0.219212,0.227815,0.109176,0.111403,0.145752,0.207838,0.125515,0.125769,0.175835,0.188392,0.167126,0.189522,0.15158,0.10481,0.121413,0.120384,0.150861,0.166452,0.082458,0.0828613,0.216876,0.0796586,0.0834274,0.175745,0.146542,0.111684,0.107103,0.197306,0.188329,0.114852,0.109106,0.11495,0.10461,0.0988081,0.100244,0.12472,0.116481,0.102146,0.0983836,0.0912262,0.10113,0.100614,0.103368,0.107774,0.108065
681.924,0.226367,0.249331,0.108184,0.109608,0.22517,0.21054,0.107422,0.0904663,0.10245,0.228464,0.269935,0.102176,0.123239,0.235057,0.220258,0.118165,0.175645,0.230147,0.242422,0.110735,0.106454,0.193872,0.241804,0.119891,0.108614,0.140256,0.0974499,0.231216,0.255887,0.123488,0.12182,0.120169,0.111071,0.12558,0.124953,0.157544,0.139942,0.156171,0.121116,0.069402,0.128807,0.105775,0.0668458,0.0672882,0.118973,0.15944,0.0741004,0.0751582,0.0532099,0.0704746,0.0638971,0.0534342,0.0561201,0.0589874,0.0547866,0.090916,0.0558971,0.0593068,0.049051,0.059515,0.0660612,0.0715482,0.104818,0.118758,0.0614702,0.0610587,0.116703,0.114537,0.258632,0.255813,0.178457,0.134449,0.221673,0.232016,0.105866,0.108058,0.14781,0.215675,0.12289,0.12313,0.179471,0.190857,0.164246,0.187212,0.152875,0.105503,0.118138,0.11714,0.152617,0.167735,0.0784652,0.0789038,0.22959,0.0752289,0.0793616,0.179165,0.148677,0.107164,0.102766,0.203033,0.194247,0.111065,0.105492,0.116407,0.106071,0.0957266,0.0972517,0.126818,0.118192,0.0991189,0.0950899,0.0921579,0.102405,0.097423,0.100894,0.108896,0.109097
