"ID","exposure","retain","substrate","material"
"sa22069.01","HF",1,"9006","PET"
"sa22069.02","HF",2,"9006","PET"
"sa22069.03","HF",3,"9006","PET"
"sa22069.04","HF",4,"9006","PET"
"sa22069.05","HF",4,"9006","PET"
"sa22072.01","HF",1,"9006","TPU"
"sa22072.02","HF",2,"9006","TPU"
"sa22072.03","HF",3,"9006","TPU"
"sa22072.04","HF",4,"9006","TPU"
"sa22072.05","HF",4,"9006","TPU"
"sa22075.01","HF",1,"9013","PET"
"sa22075.02","HF",2,"9013","PET"
"sa22075.03","HF",3,"9013","PET"
"sa22075.04","HF",4,"9013","PET"
"sa22075.05","HF",4,"9013","PET"
"sa22078.01","HF",1,"9013","TPU"
"sa22078.02","HF",2,"9013","TPU"
"sa22078.03","HF",3,"9013","TPU"
"sa22078.04","HF",4,"9013","TPU"
"sa22078.05","HF",4,"9013","TPU"
"sa22080.11","HF",1,"9025","PET"
"sa22080.12","HF",2,"9025","PET"
"sa22080.13","HF",3,"9025","PET"
"sa22080.14","HF",4,"9025","PET"
"sa22080.15","HF",4,"9025","PET"
"sa22084.01","HF",1,"9025","TPU"
"sa22084.02","HF",2,"9025","TPU"
"sa22084.03","HF",3,"9025","TPU"
"sa22084.04","HF",4,"9025","TPU"
"sa22084.05","HF",4,"9025","TPU"
"sa22086.11","HF",1,"PURE","PET"
"sa22086.12","HF",2,"PURE","PET"
"sa22086.13","HF",3,"PURE","PET"
"sa22086.14","HF",4,"PURE","PET"
"sa22087.00","HF",4,"PURE","PET"
"sa22088.11","HF",1,"PURE","TPU"
"sa22088.12","HF",2,"PURE","TPU"
"sa22088.13","HF",3,"PURE","TPU"
"sa22088.14","HF",4,"PURE","TPU"
"sa22089.00","HF",4,"PURE","TPU"
"sa22069.06","ASTMG155",1,"9006","PET"
"sa22069.07","ASTMG155",2,"9006","PET"
"sa22069.08","ASTMG155",3,"9006","PET"
"sa22069.09","ASTMG155",4,"9006","PET"
"sa22070.00","ASTMG155",4,"9006","PET"
"sa22072.06","ASTMG155",1,"9006","TPU"
"sa22072.07","ASTMG155",2,"9006","TPU"
"sa22072.08","ASTMG155",3,"9006","TPU"
"sa22072.09","ASTMG155",4,"9006","TPU"
"sa22073.00","ASTMG155",4,"9006","TPU"
"sa22075.06","ASTMG155",1,"9013","PET"
"sa22075.07","ASTMG155",2,"9013","PET"
"sa22075.08","ASTMG155",3,"9013","PET"
"sa22075.09","ASTMG155",4,"9013","PET"
"sa22076.00","ASTMG155",4,"9013","PET"
"sa22078.06","ASTMG155",1,"9013","TPU"
"sa22078.07","ASTMG155",2,"9013","TPU"
"sa22078.08","ASTMG155",3,"9013","TPU"
"sa22078.09","ASTMG155",4,"9013","TPU"
"sa22079.00","ASTMG155",4,"9013","TPU"
"sa22080.16","ASTMG155",1,"9025","PET"
"sa22080.17","ASTMG155",2,"9025","PET"
"sa22080.18","ASTMG155",3,"9025","PET"
"sa22080.19","ASTMG155",4,"9025","PET"
"sa22081.00","ASTMG155",4,"9025","PET"
"sa22084.06","ASTMG155",1,"9025","TPU"
"sa22084.07","ASTMG155",2,"9025","TPU"
"sa22084.08","ASTMG155",3,"9025","TPU"
"sa22084.09","ASTMG155",4,"9025","TPU"
"sa22085.00","ASTMG155",4,"9025","TPU"
"sa22087.01","ASTMG155",1,"PURE","PET"
"sa22087.02","ASTMG155",2,"PURE","PET"
"sa22087.03","ASTMG155",3,"PURE","PET"
"sa22087.04","ASTMG155",4,"PURE","PET"
"sa22087.05","ASTMG155",4,"PURE","PET"
"sa22089.01","ASTMG155",1,"PURE","TPU"
"sa22089.02","ASTMG155",2,"PURE","TPU"
"sa22089.03","ASTMG155",3,"PURE","TPU"
"sa22089.04","ASTMG155",4,"PURE","TPU"
"sa22089.05","ASTMG155",4,"PURE","TPU"
