Sample Number,Product Name,Exposure,Step Number Retained
sa22069.01,9006-PET,HF,1
sa22069.02,9006-PET,HF,2
sa22069.03,9006-PET,HF,3
sa22069.04,9006-PET,HF,4
sa22069.05,9006-PET,HF,4
sa22072.01,9006-TPU,HF,1
sa22072.02,9006-TPU,HF,2
sa22072.03,9006-TPU,HF,3
sa22072.04,9006-TPU,HF,4
sa22072.05,9006-TPU,HF,4
sa22075.01,9013-PET,HF,1
sa22075.02,9013-PET,HF,2
sa22075.03,9013-PET,HF,3
sa22075.04,9013-PET,HF,4
sa22075.05,9013-PET,HF,4
sa22078.01,9013-TPU,HF,1
sa22078.02,9013-TPU,HF,2
sa22078.03,9013-TPU,HF,3
sa22078.04,9013-TPU,HF,4
sa22078.05,9013-TPU,HF,4
sa22080.11,9025-PET,HF,1
sa22080.12,9025-PET,HF,2
sa22080.13,9025-PET,HF,3
sa22080.14,9025-PET,HF,4
sa22080.15,9025-PET,HF,4
sa22084.01,9025-TPU,HF,1
sa22084.02,9025-TPU,HF,2
sa22084.03,9025-TPU,HF,3
sa22084.04,9025-TPU,HF,4
sa22084.05,9025-TPU,HF,4
sa22086.11,PET,HF,1
sa22086.12,PET,HF,2
sa22086.13,PET,HF,3
sa22086.14,PET,HF,4
sa22087.00,PET,HF,4
sa22088.11,TPU,HF,1
sa22088.12,TPU,HF,2
sa22088.13,TPU,HF,3
sa22088.14,TPU,HF,4
sa22089.00,TPU,HF,4
sa22069.06,9006-PET,ASTMG155,1
sa22069.07,9006-PET,ASTMG155,2
sa22069.08,9006-PET,ASTMG155,3
sa22069.09,9006-PET,ASTMG155,4
sa22070.00,9006-PET,ASTMG155,4
sa22072.06,9006-TPU,ASTMG155,1
sa22072.07,9006-TPU,ASTMG155,2
sa22072.08,9006-TPU,ASTMG155,3
sa22072.09,9006-TPU,ASTMG155,4
sa22073.00,9006-TPU,ASTMG155,4
sa22075.06,9013-PET,ASTMG155,1
sa22075.07,9013-PET,ASTMG155,2
sa22075.08,9013-PET,ASTMG155,3
sa22075.09,9013-PET,ASTMG155,4
sa22076.00,9013-PET,ASTMG155,4
sa22078.06,9013-TPU,ASTMG155,1
sa22078.07,9013-TPU,ASTMG155,2
sa22078.08,9013-TPU,ASTMG155,3
sa22078.09,9013-TPU,ASTMG155,4
sa22079.00,9013-TPU,ASTMG155,4
sa22080.16,9025-PET,ASTMG155,1
sa22080.17,9025-PET,ASTMG155,2
sa22080.18,9025-PET,ASTMG155,3
