ID,L.,a.,b.,YI.E313..D65.10.,Haze...D65.10
sa22068.00,95.79,-0.18,0.96,1.68,1.4
sa22068.01,95.81,-0.17,0.95,1.67,2.1
sa22068.02,95.78,-0.17,0.96,1.68,2.2
sa22068.03,95.82,-0.19,0.95,1.65,2.1
sa22068.04,95.82,-0.17,0.94,1.65,1.7
sa22068.06,95.82,-0.17,0.95,1.66,1.7
sa22068.07,95.79,-0.18,0.97,1.69,3
sa22068.08,95.79,-0.18,0.96,1.68,1.7
sa22068.09,95.8,-0.18,0.96,1.68,1.6
sa22070.09,95.82,-0.18,0.93,1.62,1.6
sa22069.00,95.82,-0.17,0.96,1.67,1.4
sa22069.01,95.84,-0.18,0.96,1.67,1.8
sa22069.02,95.86,-0.18,0.94,1.64,2.2
sa22069.03,95.82,-0.17,0.92,1.61,1.8
sa22069.04,95.76,-0.17,0.96,1.67,1
sa22069.05,95.81,-0.18,0.94,1.64,1.7
sa22069.06,95.8,-0.18,0.93,1.62,1.9
sa22069.07,95.8,-0.18,0.93,1.62,1.4
sa22069.08,95.83,-0.18,0.93,1.62,1.3
sa22069.09,95.84,-0.2,0.91,1.57,1.2
sa22070.00,95.79,-0.2,0.95,1.64,3.4
sa22070.01,95.76,-0.18,0.96,1.68,1.8
sa22070.02,95.79,-0.18,0.96,1.67,2.1
sa22070.03,95.83,-0.19,0.95,1.65,1.1
sa22070.04,95.81,-0.17,0.93,1.63,2.1
sa22070.05,95.8,-0.17,0.95,1.67,2.1
sa22070.06,95.81,-0.2,0.94,1.63,1.9
sa22070.07,95.78,-0.18,0.95,1.65,1.9
sa22070.08,95.8,-0.18,0.93,1.62,2.6
sa22068.05,95.79,-0.17,0.94,1.64,1.5
