ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22074.00,95.78,-0.18,0.97,1.69,1.9
sa22074.01,95.8,-0.17,0.96,1.68,2.2
sa22074.02,95.81,-0.17,0.95,1.66,1.5
sa22074.03,95.78,-0.18,0.96,1.68,1.1
sa22074.04,95.84,-0.18,0.96,1.68,1.6
sa22074.05,95.84,-0.19,0.96,1.67,1
sa22074.06,95.84,-0.16,0.94,1.65,1.1
sa22074.07,95.8,-0.17,0.96,1.68,1.3
sa22074.08,95.78,-0.18,0.98,1.71,2.1
sa22074.09,95.84,-0.21,0.96,1.65,0.9
sa22075.00,95.83,-0.16,0.95,1.66,1.2
sa22075.01,94.88,-0.16,1.01,1.8,3.3
sa22075.02,95.82,-0.17,0.96,1.68,1.5
sa22075.03,95.82,-0.17,0.95,1.65,1.7
sa22075.04,95.4,-0.22,0.94,1.6,1.3
sa22075.05,95.82,-0.2,0.96,1.65,1.3
sa22075.06,95.76,-0.18,0.97,1.71,1.6
sa22075.07,95.83,-0.24,0.96,1.63,2.4
sa22075.08,95.84,-0.17,0.93,1.63,1.3
sa22075.09,95.83,-0.23,0.96,1.63,1.3
sa22076.00,95.83,-0.04,0.92,1.71,1.1
sa22076.01,95.78,-0.19,0.96,1.67,1.9
sa22076.02,95.88,-0.04,1.14,2.13,1.2
sa22076.03,95.83,-0.21,0.95,1.63,1.2
sa22076.04,95.81,0.03,0.84,1.6,1.7
sa22076.05,95.82,-0.2,0.94,1.62,1
sa22076.06,95.81,-0.19,0.95,1.64,1.3
sa22076.07,95.76,-0.19,0.93,1.6,1.9
sa22076.08,95.81,-0.19,0.96,1.67,2.1
sa22076.09,95.81,-0.17,0.96,1.68,2
