ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22077.00,96.77,-0.03,0.4,0.71,4.6
sa22077.01,96.74,-0.04,0.37,0.64,3.9
sa22077.02,96.76,-0.08,0.34,0.57,3
sa22077.03,96.77,-0.05,0.39,0.69,2.7
sa22077.04,96.78,-0.04,0.36,0.62,1.8
sa262077.05,96.76,-0.04,0.38,0.67,2.1
sa22077.06,96.78,-0.03,0.35,0.63,2.4
sa22077.07,96.76,-0.05,0.37,0.65,3
sa22077.08,96.69,-0.11,0.24,0.34,1.9
sa22077.09s,96.72,-0.04,0.33,0.57,1.3
sa22078.00,96.75,-0.05,0.38,0.65,3.6
sa22078.01,96.75,-0.04,0.36,0.63,2.5
sa22078.02,96.82,-0.04,0.36,0.63,2.8
sa22078.03,96.8,-0.05,0.35,0.6,2.1
sa22078.04,96.78,-0.05,0.36,0.62,2.3
sa22078.05,96.75,-0.03,0.35,0.62,1.6
sa22078.06,96.78,-0.03,0.35,0.61,1.6
sa22078.07,96.82,-0.03,0.33,0.59,2.3
sa22078.08,96.78,-0.05,0.37,0.65,2.2
sa22078.09,96.76,-0.04,0.35,0.61,2.1
sa22079.00,96.8,-0.03,0.34,0.61,2.3
sa22079.01,96.8,-0.04,0.36,0.63,1.5
sa22079.02,96.76,-0.04,0.36,0.63,2.2
sa22079.03,96.72,-0.04,0.4,0.7,3.2
sa22079.04,96.77,-0.04,0.34,0.6,1.9
sa22079.05,96.78,-0.04,0.36,0.64,1.7
sa22079.06,96.81,-0.04,0.36,0.63,2
sa22079.07,96.78,-0.03,0.37,0.65,1.9
sa22079.08,96.8,-0.04,0.38,0.66,1.8
sa22079.09,96.78,-0.04,0.36,0.63,3
