ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22086.00,95.11,-0.18,1.03,1.82,1.9
sa22086.01,95.06,-0.17,1.03,1.83,1.2
sa22086.02,95.05,-0.17,1.05,1.86,1.2
sa22086.03,95.1,-0.16,1.02,1.81,1.2
sa22086.04,95.06,-0.17,1.04,1.85,1.2
sa22086.05,95.07,-0.16,1.03,1.84,1.1
sa22086.06,95.05,-0.16,1.03,1.84,1.1
sa22086.07,95.08,-0.16,1.03,1.83,1.2
sa22086.08,95.06,-0.17,1.04,1.84,1.1
sa22086.09,95.06,-0.17,1.04,1.84,1.1
sa22086.10,94.98,-0.17,1.03,1.83,2.1
sa22086.11,95.08,-0.17,1.02,1.81,1.2
sa22086.12,95.07,-0.17,1.04,1.84,1.1
sa22086.13,95.07,-0.19,1.04,1.83,1.1
sa22086.14,95.1,-0.18,1.02,1.81,1.2
sa22087.00,95.07,-0.17,1.03,1.84,1.1
sa22087.01,95.1,-0.19,1.03,1.82,1.2
sa22087.02,95.11,-0.16,1.01,1.8,1.4
sa22087.03,95.06,-0.18,1.04,1.84,1.2
sa22087.04,95.08,-0.17,1.03,1.82,1.6
sa22087.05,95.09,-0.18,1.03,1.82,1.4
sa22087.06,95.04,-0.18,1.04,1.84,1.5
sa22087.07,95.09,-0.18,1.03,1.82,1.4
sa22087.08,95.08,-0.17,1.03,1.83,1.2
sa22087.09,95.09,-0.18,1.02,1.8,1.2
sa22087.10,95.11,-0.18,1.02,1.8,1.1
sa22087.11,95.06,-0.17,1.03,1.83,1.1
sa22087.12,95.09,-0.18,1.02,1.81,1.2
sa22087.13,95.07,-0.18,1.04,1.84,1.6
sa22087.14,95.07,-0.18,1.03,1.82,1.1
