ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa222088.00,96.73,-0.03,0.34,0.6,2.5
sa22088.01,96.74,-0.04,0.35,0.6,2.3
sa22088.02,96.76,-0.02,0.32,0.58,2.3
sa22088.03,96.82,-0.03,0.3,0.54,1.5
sa22088.04,96.81,-0.03,0.33,0.58,1.8
sa22088.05,96.72,-0.02,0.33,0.58,4.2
sa22088.06,96.79,-0.02,0.31,0.55,2.1
sa22088.07,96.74,-0.03,0.32,0.56,2.6
sa22088.08,96.76,-0.04,0.33,0.58,3.1
sa22088.09,96.78,-0.02,0.32,0.56,2
sa22088.10,96.7,-0.02,0.36,0.64,3.4
sa22088.11,96.83,-0.03,0.31,0.54,1.4
sa22088.12,96.78,-0.04,0.32,0.56,2.9
sa22088.13,96.8,-0.03,0.32,0.56,2.5
sa22088.14,96.74,-0.03,0.36,0.63,3
sa22089.00,96.8,-0.03,0.32,0.56,1.7
sa22089.01,96.79,-0.04,0.33,0.57,2.2
sa22089.02,96.76,-0.02,0.33,0.59,3.7
sa22089.03,96.75,-0.03,0.34,0.6,3
sa22089.04,96.73,-0.03,0.33,0.59,3.7
sa22089.05,96.61,-0.03,0.37,0.66,5
sa22089.06,96.7,-0.04,0.36,0.63,3.8
sa22089.07,96.76,-0.04,0.33,0.58,3.6
sa22089.08,96.65,-0.04,0.36,0.63,5.4
sa22089.09,96.68,-0.03,0.35,0.62,3.5
sa22089.10,96.74,-0.03,0.34,0.59,3.2
sa22089.11,96.74,-0.04,0.34,0.58,2.1
sa22089.12,96.78,-0.04,0.32,0.57,1.7
sa22089.13,96.75,-0.04,0.34,0.6,2.7
sa22089.14,96.79,-0.03,0.32,0.56,1.2
