ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22079.04,96.08,-0.03,0.7,1.3,5.6
sa22079.03,96.26,-0.04,0.68,1.24,5.9
sa22079.02,96.22,-0.04,0.65,1.19,5.1
sa22079.01,96.32,-0.04,0.64,1.17,4.3
sa22076.04,95.37,-0.05,1.03,1.91,6
sa22076.03,95.19,-0.04,1.28,2.4,6.3
sa22076.02,95.66,-0.2,1.07,1.86,3.5
sa22076.01,95.46,-0.43,1.12,1.78,4.4
sa22073.04,96.11,-0.05,0.64,1.16,6.8
sa22073.03,96.18,-0.05,0.72,1.31,5.9
sa22073.02,95.96,-0.05,0.69,1.26,7
sa22073.01,96.01,-0.02,0.7,1.3,7.5
sa22070.04,96.03,-0.18,1.11,1.96,3.1
sa22070.03,95.15,-0.15,1.22,2.2,7.6
sa22070.02,95.44,-0.18,1.15,2.04,5.9
sa22070.01,95.2,-0.18,1.23,2.19,7.2
sa22089.09,96.17,-0.04,0.76,1.4,5.3
sa22089.08,96.2,-0.04,0.74,1.36,5.9
sa22089.07,96.08,-0.02,0.75,1.39,7
sa22089.06,95.9,-0.04,0.78,1.43,9.1
sa22087.09,95.03,-0.2,1.15,2.03,5.9
sa22087.08s,95.05,-0.22,1.09,1.9,5
sa22087.07,95.11,-0.19,1.12,1.97,3.4
sa22087.06,94.71,-0.21,1.25,2.22,6.6
sa22085.04,95.87,-0.06,0.77,1.4,10
sa22085.03,95.9,0,0.84,1.59,11.1
sa22085.02,96.14,-0.06,0.67,1.21,8.1
sa22085.01,95.64,-0.22,0.56,0.89,9.4
sa22081.04,95.62,-0.19,1.08,1.89,6.3
sa22081.03,95.48,-0.19,1.15,2.02,7.6
sa22081.02,95.25,-0.16,1.25,2.25,8.6
sa22081.01,95.34,-0.17,1.17,2.1,6.7
