ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22088.05,96.62,-0.04,0.8,1.46,2.4
sa22088.04,96.58,-0.06,0.86,1.56,2.1
sa22088.03,96.64,-0.04,0.71,1.31,1.7
sa22088.02,96.64,-0.03,0.67,1.24,2
s222088.01,96.63,-0.05,0.74,1.34,1.8
sa22086.05,95.21,-0.48,1.95,3.34,1.1
sa22086.04,95.2,-0.49,2,3.42,1.1
sa22086.03,95.21,-0.48,2,3.43,2.1
sa22086.02,95.18,-0.48,1.98,3.4,1.7
sa22086.01,95.2,-0.49,1.97,3.37,1.2
sa22083.05,96.52,-0.08,0.85,1.53,2.8
sa22083.04,96.51,-0.08,0.91,1.65,2.8
sa22083.03,96.55,-0.08,0.95,1.73,2.1
sa22083.02,96.61,-0.08,0.97,1.75,1.2
sa22083.01,96.59,-0.07,0.96,1.74,1.9
sa22080.05,95.72,-0.53,1.97,3.32,2
sa22080.04,95.64,-0.52,1.92,3.22,1.7
sa22080.03,95.63,-0.54,1.95,3.28,2.2
sa22080.02,95.64,-0.48,1.82,3.08,1.7
sa22080.01,95.69,-0.48,1.84,3.12,1.6
sa22077.05,96.55,-0.1,0.84,1.5,2.5
sa22077.04,96.51,-0.11,1.01,1.82,1.8
sa22077.03,96.48,-0.01,1.13,2.11,2.8
sa22077.02,96.38,-0.17,1.07,1.87,4.2
sa220777.01,96.48,-0.13,1.04,1.87,2.3
sa22074.05,95.68,-0.52,1.97,3.32,1
sa22074.04,95.59,-0.54,2,3.38,1.6
sa22074.03,95.67,-0.51,1.91,3.23,1.3
sa22074.02,95.61,-0.52,2.02,3.43,1.7
sa22074.01,95.67,-0.53,2.03,3.42,1.4
sa22071.05,96.53,-0.05,0.91,1.66,2.1
sa22071.04,96.51,-0.05,0.71,1.29,2.3
sa22071.03,96.59,-0.05,0.83,1.52,1.8
sa22071.02,96.66,-0.04,0.8,1.46,2
sa22071.01,96.51,-0.03,0.74,1.37,2.9
sa22068.05,95.63,-0.53,1.98,3.33,2.3
sa22068.04,95.71,-0.53,1.95,3.28,2
sa22068.03,95.7,-0.51,1.93,3.26,2.1
sa22068.02,95.75,-0.56,2.03,3.41,2.8
sa22068.01,95.65,-0.55,1.98,3.32,1.9
sa22088.10,96.57,-0.04,0.52,0.94,5.1
sa22088.09,96.5,-0.04,0.57,1.03,5.2
sa22088.08,96.6,-0.04,0.63,1.15,3.7
sa22088.07,96.59,-0.04,0.5,0.9,4
sa22088.06,96.04,0.09,1.25,2.42,43.9
sa22086.10,95.42,-0.34,1.74,3.04,20.4
sa22086.09,94.58,-0.3,1.85,3.3,28.1
sa22086.08,94,-0.37,1.67,2.93,19.8
sa22086.07,92.95,-0.29,1.92,3.5,38.9
sa22086.06,91.99,-0.35,1.81,3.27,42.5
sa22084.00,96.58,-0.06,0.73,1.32,2.7
sa22083.09,96.59,-0.04,0.65,1.17,5.8
sa22083.08,96.3,-0.05,0.91,1.67,11.4
sa22083.07,96.14,-0.05,0.98,1.8,15.6
sa22083.06,96.3,-0.04,0.67,1.23,11.6
sa22080.10,95.87,-0.36,1.33,2.23,2.7
sa22080.09,95.42,-0.53,1.45,2.34,10.8
s222080.08,95.79,0.08,1.42,2.74,9
sa22080.07,95.81,-0.38,1.37,2.29,1.8
sa22080.06,96.06,-0.28,1.58,2.77,6.8
sa22078.00,96.3,-0.07,0.86,1.56,5.6
sa22077.09,96.04,-0.04,0.85,1.58,12.5
sa22077.08,96.56,-0.07,0.73,1.3,1.5
sa22077.07,96.25,-0.06,0.85,1.55,8.4
sa22077.06,96.23,-0.04,0.83,1.53,12.1
sa22075.00,95.15,-0.24,1.76,3.16,22.7
sa22074.09,95.72,-0.31,1.2,2.04,3.3
sa22074.08,96.8,-0.42,1.52,2.54,5.6
sa22074.07,95.57,-0.32,1.29,2.2,2.6
sa22074.06,95.63,-0.34,1.33,2.25,2
sa22072.00,96.01,0.01,0.83,1.57,24.5
sa22071.09,96.1,-0.02,0.75,1.4,18.9
sa22071.08,96.61,-0.03,0.49,0.89,2.6
sa22071.07,96.53,-0.04,0.53,0.95,6.7
sa22071.06,96.36,-0.03,0.58,1.07,7.8
sa22069.00,95.68,-0.34,1.32,2.23,2.4
sa22068.09,95.69,-0.25,1.14,1.96,5.3
sa22068.08,95.62,-0.35,1.38,2.34,3.9
sa22068.07,95.56,-0.35,1.36,2.3,4.6
sa22068.06,94.99,-0.44,1.63,2.77,5.9
