ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22081.02,95.29,-0.16,1.23,2.21,5
sa22081.03,95.42,-0.19,1.2,2.13,6.6
sa22081.04,95.41,-0.18,1.18,2.1,5.7
sa22085.02,95.87,-0.01,0.85,1.6,8.8
sa22085.03,95.93,-0.01,0.86,1.61,7.2
sa22085.04,95.96,-0.01,0.87,1.63,6.7
sa22087.07,94.87,-0.19,1.18,2.11,5.2
sa2087.08,94.91,-0.2,1.2,2.13,4.7
sa22087.09,94.85,-0.2,1.23,2.2,5.9
sa22089.07,94.98,0.02,1.16,2.23,16.6
sa22089.08,94.95,0.03,1.22,2.34,15.6
sa22089.09,95.1,0.02,1.13,2.17,12.2
sa22070.02,95.4,-0.2,1.2,2.12,5.6
sa22070.03,95.29,-0.19,1.21,2.15,6
sa22070.04,95.37,-0.19,1.18,2.09,5.9
sa22073.02,95.19,0.03,1.11,2.12,14.1
sa22073.03,94.85,0.03,1.23,2.37,19
sa22073.04,96.19,-0.01,0.76,1.42,6
sa22076.02,95.56,-0.19,1.19,2.11,3.6
sa22076.03,95.38,-0.2,1.26,2.23,4
sa22076.04,95.38,-0.24,1.26,2.21,8.7
sa22079.02,96.26,-0.04,0.71,1.3,4.7
sa22079.03,96.11,-0.04,0.76,1.4,5.5
sa22079.04,96.16,-0.02,0.82,1.52,5
sa22070.06,94.88,-0.22,1.27,2.25,5.3
sa22070.07,95.47,-0.19,1.17,2.08,5.4
sa22070.08,95.2,-0.18,1.29,2.32,7.4
sa22073.06,94.63,0,0.81,1.55,6.5
22073.07,95.12,0.03,1.09,2.11,15.6
sa22073.08,96.02,-0.02,0.82,1.52,7
sa22076.06,95.28,-0.19,1.3,2.32,5.7
sa22076.07,95.35,-0.2,1.29,2.3,4.6
sa22076.08,95.51,-0.19,1.23,2.18,4.1
sa22079.06,95.92,-0.03,0.79,1.46,6.7
sa22079.07,96.08,-0.03,0.76,1.41,5.9
sa22079.08,96.1,-0.03,0.82,1.52,6.4
sa22082.01,95.2,-0.18,1.33,2.39,7.6
sa22082.02,95.41,-0.19,1.31,2.34,5.9
a22082.03,95.32,-0.17,1.32,2.38,5.7
sa22085.06,96.11,-0.01,0.8,1.49,7.1
sa22085.07,95.88,-0.01,0.8,1.5,9.8
sa22085.08,96.11,-0.01,0.8,1.5,6.9
sa22087.11,94.87,-0.19,1.31,2.35,4.4
sa22087.12,94.84,-0.2,1.27,2.26,5.8
sa22087.13,94.92,-0.19,1.28,2.29,4.2
sa22089.11,95.08,0.03,1.11,2.14,13.2
sa22089.12,95.12,0.04,1.03,2,13.3
sa22089.133,95.02,0.03,1.12,2.16,14.6
