ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
ssa22072.00,96.07,0.02,0.65,1.24,19.3
sa22071.09,96.1,0.02,0.66,1.25,18.3
sa22071.08,96.6,0,0.46,0.86,4.3
sa22071.07,96.35,-0.01,0.62,1.16,12.8
sa22069.00,94.69,-0.44,1.73,2.95,15.1
sa22068.09,92.33,-0.39,3.31,6.11,53.6
sa22068.08,93.1,-0.49,2.17,3.8,27
sa22068.07,94.75,-0.34,1.65,2.88,13.1
sa22066.50,96.47,-0.03,0.64,1.17,6.1
sa22065.59,96.33,-0.03,0.67,1.23,9
sa22065.58,96.15,-0.01,0.78,1.46,16.9
sa22065.57,96.49,-0.04,0.69,1.26,5.9
sa22080.10,96.74,-0.39,1.6,2.7,8.7
sa22080.09,92.77,-0.28,2.23,4.11,47.2
8sa22080.08,93.73,-0.49,2.27,3.99,26.1
sa22080.07,92.42,-0.59,4.06,7.38,63.1
sa22078.00,96.53,-0.05,0.73,1.33,7.2
sa22077.09,96.25,-0.03,0.78,1.45,12.2
sa22077.08,96.35,-0.06,0.73,1.32,8.5
sa22077.07,95.96,-0.09,1.02,1.85,15
sa22075.00,94.87,-0.3,2.11,3.78,26.6
sa22074.09,95.13,-0.33,1.61,2.81,15.8
sa22074.08,95.76,-0.74,2.43,4.01,17.3
sa22074.07,95.68,-0.11,1.52,2.8,7
sa22088.10,96.56,-0.04,0.64,1.16,6.8
sa22088.09,95.85,0,0.5,0.95,9.8
sa22088.08,96.37,0.01,0.57,1.07,12.2
sa2088.07,96.02,0,0.58,1.09,14.8
sa22086.10,90.57,-0.6,2.45,4.37,69
sa22086.09,85.67,-0.83,7.85,15.12,95.9
sa22086.08,89.38,-0.54,2.75,5.05,76.5
sa22086.07,90.36,-0.53,2.46,4.44,78.2
sa222084.00,95.68,-0.03,0.82,1.52,19.7
sa22083.09,95.94,0,0.73,1.37,25.7
sa22083.08,95.86,-0.02,0.71,1.33,15.1
sa22083.07,94.84,-0.01,0.96,1.81,36
