ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22069.02,95.79,-0.21,1.17,2.05,6.4
sa22069.03,95.8,-0.21,1.12,1.95,5.9
sa22069.04,95.84,-0.21,1.15,2.01,4.1
sa22069.05,95.79,-0.21,1.14,1.99,5.7
sa22072.02,96.85,-0.29,1.1,1.83,2.2
sa22072.03,96.76,-0.21,1.1,1.9,2.6
sa22072.04,96.76,-0.29,1.09,1.83,3.1
sa22072.05,96.84,-0.29,1.1,1.85,2.4
sa22075.02,95.84,-0.2,1.07,1.88,2.9
sa2075.03,95.82,-0.21,1.13,1.97,2.7
sa22075.04,95.86,-0.21,1.09,1.89,2
sa22075.05,95.85,-0.21,1.08,1.89,2.9
sa22078.02,96.73,-0.3,1.19,2.01,3.3
sa22078.03,96.78,-0.31,1.16,1.93,2.3
sa22078.04,96.77,-0.29,1.19,2.02,2.4
sa22078.05,96.81,-0.29,1.15,1.93,1.7
sa22080.12,95.87,-0.21,1.1,1.91,4.1
sa22080.13,95.86,-0.22,1.11,1.94,4.6
sa22080.14,95.86,-0.22,1.12,1.94,4.4
sa22080.15,95.82,-0.22,1.11,1.93,5.2
sa22084.02,96.85,-0.28,1.1,1.84,2.3
sa22084.03,96.88,-0.28,1.11,1.87,2.1
sa22084.04,96.88,-0.29,1.07,1.78,2.1
sa22084.05,96.79,-0.28,1.17,1.99,2.5
sa22086.12,95.25,-0.2,1.13,1.98,3
sa22086.13,95.23,-0.2,1.13,2,2.7
sa22086.14,95.23,-0.18,1.14,2.02,3.3
sa22087.00,95.26,-0.2,1.13,2,3.1
sa22088.12,96.73,-0.36,1.55,2.63,2.7
sa22088.13,96.74,-0.34,1.37,2.32,2.5
sa22088.14,96.69,-0.29,1.24,2.11,3.1
sa22089.00,96.73,-0.31,1.24,2.08,3.2
