ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22071.05,96.55,-0.02,0.62,1.14,3.4
sa22071.04,96.52,-0.02,0.46,0.85,4
sa22071.03,96.59,-0.01,0.54,0.99,2.8
s2071.02,96.54,0,0.58,1.09,3.6
sa22068.05,95.56,-0.62,2.4,4.07,2.4
sa22068.04,95.56,-0.62,2.39,4.05,2.7
sa22068.03,95.3,-0.66,2.49,4.22,4.1
sa22068.02,95.71,-0.69,2.43,4.07,4.4
sa22065.55,96.47,-0.1,0.98,1.77,2.7
sa22065.54,96.56,-0.07,0.88,1.59,3.2
sa22065.53,96.66,-0.07,0.87,1.57,2.3
sa22065.52,96.71,-0.05,0.8,1.46,2.6
sa22080.05,95.59,-0.63,2.35,3.97,2.8
sa22080.04,95.6,-0.62,2.41,4.08,2
sa232080.03,95.28,-0.62,2.4,4.07,5.6
sa22080.02,95.48,-0.62,2.32,3.91,4.3
sa22077.05,96.55,-0.09,1.02,1.85,2.5
sa22077.04,96.55,-0.08,0.95,1.72,4.1
sa22077.03,96.48,-0.13,1.08,1.92,4
sa22077.02,96.42,-0.2,1.55,2.76,4.8
sa22074.05,95.37,-0.66,2.56,4.34,3.7
sa22074.04,95.51,-0.7,2.78,4.71,1.8
sa22074.03,95.63,-0.61,2.33,3.93,1.7
sa22074.022,94.72,-0.76,3.05,5.21,8.6
sa22088.05,96.61,-0.02,0.67,1.23,3.3
sa22088.04,96.6,-0.01,0.64,1.18,3.4
sa22088.03,96.57,-0.01,0.5,0.91,3.5
sa22088.02,96.57,-0.02,0.55,1.02,3.3
sa22086.05,95.12,-0.58,2.36,4.04,3.6
sa22086.04,94.82,-0.6,2.59,4.46,9.7
sa22086.03,94.93,-0.6,2.49,4.28,6.5
ssa22086.02,94.83,-0.6,2.55,4.39,8.2
sa22083.05,96.51,-0.08,0.99,1.81,3.1
sa22083.04,96.61,-0.09,0.88,1.58,3
sa22083.03,96.61,-0.03,0.74,1.35,2.9
sa22083.02,96.61,-0.09,0.96,1.74,1.7
