ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22069.03,95.45,-0.27,1.42,2.48,6.1
sa22069.04,95.56,-0.24,1.24,2.16,4.3
sa22069.05,95.55,-0.25,1.26,2.19,4.8
sa22075.03,95.53,-0.25,1.32,2.3,4
sa22075.04,95.51,-0.25,1.33,2.32,3.4
sa22075.05,95.5,-0.25,1.34,2.34,4.8
sa2080.13,95.58,-0.23,1.26,2.21,4.3
sa22080.14,95.55,-0.25,1.28,2.24,5
sa22080.15,95.47,-0.24,1.23,2.15,5.7
sa22086.13,94.99,-0.21,1.13,1.98,3.3
sa22086.14,95.05,-0.21,1.09,1.92,3.3
sa22087.00,95.05,-0.22,1.13,1.97,3.8
sa22069.08,93.84,-0.28,1.75,3.14,88.1
sa22069.09,94.11,-0.31,1.71,3.04,87.2
sa22070.00,89.19,-0.31,2.64,5.04,93.1
sa22072.08,96.02,-0.02,0.4,0.74,16.5
sa22072.09,96.03,0.01,0.46,0.86,19.8
sa22073.000,96.07,0.02,0.39,0.73,25.3
sa22075.08,91.67,-0.39,1.8,3.22,74.3
sa22075.09,91.64,-0.51,1.96,3.44,91.5
sa22076.00,93.76,-0.31,1.68,3,81.4
sa22078.08,96.3,0.02,0.44,0.83,19
sa22078.09,96.42,0.01,0.36,0.67,16.4
sa22079.00,96.08,0.03,0.46,0.88,30.2
sa22080.18,93.23,-0.28,1.72,3.1,73
sa22080.19,93.41,-0.29,1.65,2.96,75.5
sa22081.00,93.52,-0.26,1.76,3.19,72.1
sa22084.08,96.23,0.02,0.47,0.89,17.4
sa22084.09,96.3,0.04,0.46,0.88,22
sa22085.00,96.37,-0.01,0.45,0.84,10.6
sa22087.03,91.14,-0.4,1.93,3.48,89.1
sa22087.04,92.16,-0.34,1.78,3.21,87.5
s22087.05,93.36,-0.35,1.64,2.9,81.1
sa22089.03,96.53,0.02,0.28,0.53,4.5
sa22089.04,96.43,0.03,0.3,0.57,6.2
sa22089.05,96.51,0.02,0.29,0.55,5.8
