ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22072.09,96.12,0.08,0.42,0.84,24.7
sa22073.00,96.25,0.06,0.35,0.7,22.3
sa2070.000,91.92,-0.33,2.14,3.93,97.8
sa22069.09,92.53,-0.34,1.94,3.51,97.4
sa22081.00,92.67,-0.34,1.89,3.41,96
sa22080.19,92.68,-0.34,1.87,3.36,96.7
sa22078.09,96.44,0.07,0.35,0.71,19.2
sa22079.00,96.23,0.07,0.35,0.71,19.4
sa22076.00,92.43,-0.36,1.9,3.42,97.5
sa22075.09,89.63,-0.36,2.53,4.75,96.8
sa22089.04,95.12,0.06,0.53,1.04,31.5
sa22089.05,96.21,0.05,0.42,0.82,14.1
sa22087.05,92.81,-0.35,1.9,3.4,97
sa22087.04,92.54,-0.36,1.88,3.38,97.1
sa22084.09,96.1,0.07,0.48,0.96,22.3
sa22085.00,95.88,0.02,0.48,0.92,16.6
sa22089.14,96.88,-0.02,0.33,0.58,2.6
sa22088.00,96.84,-0.01,0.32,0.58,2.1
sa22087.14,95.12,-0.17,1.04,1.85,3.5
sa22085.09,96.75,-0.01,0.36,0.65,2.9
sa22083.00,96.83,-0.01,0.33,0.6,3.1
sa22082.04,95.75,-0.18,0.95,1.66,2.5
sa22080.00,95.82,-0.18,0.95,1.66,3.4
sa22079.09,96.7,-0.03,0.43,0.76,5.2
sa22077.00,96.6,-0.04,0.5,0.89,9.3
sa22076.09,95.87,-0.17,0.97,1.69,3
sa22074.00,95.87,-0.17,0.94,1.65,4.2
sa22080.05,94.41,-0.8,2.86,4.85,32.8
sa22080.04,94,-0.52,2.86,5.06,45.2
sa22077.05,96.56,0.02,0.4,0.75,9.5
sa22077.04,96.31,-0.01,0.47,0.87,13.8
sa22074.051,93.28,-0.77,3.29,5.73,18.9
sa22074.04,94.2,-0.73,4.12,7.26,35.9
sa22088.04,96.59,0.03,0.48,0.92,4.8
sa22088.05,96.55,0.04,0.45,0.86,5.5
sa22086.04,94.11,-0.56,2.96,5.23,53.9
sa22086.05,93.88,-0.47,3.15,5.65,44.2
sa22083.05,96.66,0.05,0.43,0.83,4.1
sa22083.04,96.56,0.03,0.46,0.88,3.1
sa22071.05,95.9,-0.56,3.02,5.25,7.2
sa22071.04,96.28,-0.01,0.5,0.92,5.8
sa2068.05,94.44,-0.56,2.98,5.25,21.8
sa22068.04,94.21,-0.6,3.36,5.93,18.1
sa22069.00,87.89,-0.51,3.23,6.1,93.4
sa22068.09,89.07,-0.35,2.77,5.27,89.4
sa22080.10,91.95,-0.33,2.08,3.81,88.5
sa22080.09,89.51,-0.36,3.12,5.92,92.4
sa22075.00,91.96,-0.35,2.26,4.14,85.4
sa22074.09,91.09,-0.43,2.27,4.13,88.5
sa22086.10,92.01,-0.31,2.01,3.67,89.9
sa22086.09,89.44,-0.44,2.93,5.5,92.3
sa22071.00,96.65,-0.03,0.36,0.65,3
sa22070.09,95.78,-0.19,0.98,1.69,3.4
sa22068.00,95.72,-0.19,0.99,1.73,4.5
sa22073.09,96.59,-0.02,0.4,0.72,3.8
sa22075.05,95.48,-0.25,1.42,2.49,3.9
sa22075.04,95.31,-0.24,1.54,2.73,4.9
sa22080.15,95.29,-0.21,1.39,2.47,7.3
sa22080.14,95.26,-0.24,1.81,3.25,6.2
sa22086.14,94.97,-0.21,1.12,1.96,2.9
sa22087.00,95,-0.21,1.16,2.05,4.2
sa22069.05,95.11,-0.23,1.8,3.24,5.9
sa22069.044,95.42,-0.25,1.44,2.54,3.7
