"ID","step","hours","exposure","material","retain","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","dose","doseType"
"sa22076.02",0,0,"1x","9013-PET",2,95.88,-0.04,1.14,2.13,1.2,NA,NA,NA,NA,0,"fullSpectrum"
"sa22073.01",0,0,"1x","9006-TPU",1,96.71,-0.05,0.36,0.63,2.9,NA,NA,NA,NA,0,"fullSpectrum"
"sa22085.02",0,0,"1x","9025-TPU",2,96.78,-0.03,0.34,0.6,2.5,NA,NA,NA,NA,0,"fullSpectrum"
"sa22079.02",0,0,"1x","9013-TPU",2,96.76,-0.04,0.36,0.63,2.2,NA,NA,NA,NA,0,"fullSpectrum"
"sa22081.02",0,0,"1x","9025-PET",2,95.81,-0.18,0.95,1.66,1.8,NA,NA,NA,NA,0,"fullSpectrum"
"sa22085.01",0,0,"1x","9025-TPU",1,96.81,-0.03,0.38,0.67,2.8,NA,NA,NA,NA,0,"fullSpectrum"
"sa22089.07",0,0,"1x","TPU",2,96.76,-0.04,0.33,0.58,3.6,NA,NA,NA,NA,0,"fullSpectrum"
"sa22085.03",0,0,"1x","9025-TPU",3,96.81,-0.04,0.34,0.6,2,NA,NA,NA,NA,0,"fullSpectrum"
"sa22089.08",0,0,"1x","TPU",3,96.65,-0.04,0.36,0.63,5.4,NA,NA,NA,NA,0,"fullSpectrum"
"sa22073.02",0,0,"1x","9006-TPU",2,96.7,-0.04,0.36,0.62,4.3,NA,NA,NA,NA,0,"fullSpectrum"
"sa22087.09",0,0,"1x","PET",4,95.09,-0.18,1.02,1.8,1.2,NA,NA,NA,NA,0,"fullSpectrum"
"sa22087.07",0,0,"1x","PET",2,95.09,-0.18,1.03,1.82,1.4,NA,NA,NA,NA,0,"fullSpectrum"
"sa22076.01",0,0,"1x","9013-PET",1,95.78,-0.19,0.96,1.67,1.9,NA,NA,NA,NA,0,"fullSpectrum"
"sa22087.06",0,0,"1x","PET",1,95.04,-0.18,1.04,1.84,1.5,NA,NA,NA,NA,0,"fullSpectrum"
"sa22089.06",0,0,"1x","TPU",1,96.7,-0.04,0.36,0.63,3.8,NA,NA,NA,NA,0,"fullSpectrum"
"sa22079.01",0,0,"1x","9013-TPU",1,96.8,-0.04,0.36,0.63,1.5,NA,NA,NA,NA,0,"fullSpectrum"
